Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Phases,Funded Bys,Study Type,Start Date,Completion Date,URL
4046,A Study of LY2189265 and Sitagliptin in Participants With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Biological: LY2189265|Drug: Sitagliptin,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 1,Industry,Interventional,8/11/2019,4/12/2019,https://ClinicalTrials.gov/show/NCT01408888
4047,A Study of PF-05175157 in Healthy Volunteers and Type 2 Diabetic Patients,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: PF-05175157 or Placebo,Pfizer,Pfizer,,,,,,,Phase 1,Industry,Interventional,7/11/2019,2/12/2019,https://ClinicalTrials.gov/show/NCT01396161
4048,Safety and Efficacy of Idelalisib in Relapsed or Refractory Hodgkin Lymphoma,Completed,Has Results,Hodgkin Lymphoma,Drug: Idelalisib,Gilead Sciences,Gilead Sciences,,,,,,,Phase 2,Industry,Interventional,9/11/2019,8/14/2019,https://ClinicalTrials.gov/show/NCT01393106
4049,Feasibility of an Integrated Patient Care (IPC) System Using Daily Filling Pressures,Completed,Has Results,Heart Failure,Drug: Diuretics,Medtronic Cardiac Rhythm and Heart Failure,Medtronic Cardiac Rhythm and Heart Failure,,,,,,,Phase 2,Industry,Interventional,6/11/2019,1/12/2019,https://ClinicalTrials.gov/show/NCT01370564
4050,Safety and Effectiveness of Juvéderm® VOLUMA XC Injectable Gel for Cheek Augmentation,Completed,Has Results,Mid-facial Volume Deficit Related to Aging,Device: Juvéderm® VOLUMA XC,Allergan,Allergan,,,,,,,Not Applicable,Industry,Interventional,8/9/2019,4/14/2019,https://ClinicalTrials.gov/show/NCT00978042
4051,Non-invasive Ventilation System in Moderate-to-Severe Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,"Pulmonary Disease, Chronic Obstructive|Airflow Obstruction, Chronic|Chronic Obstructive Airway Disease|Chronic Obstructive Lung Disease",Device: Noninvasive Open Ventilation System,"Breathe Technologies, Inc.","Breathe Technologies, Inc.",,,,,,,Not Applicable,Industry,Interventional,8/11/2019,10/11/2019,https://ClinicalTrials.gov/show/NCT01355978
4052,Study of Ruxolitinib (INCB018424) Sustained Release Formulation in Myelofibrosis Patients,Completed,Has Results,Myelofibrosis,Drug: Ruxolitinib,Incyte Corporation,Incyte Corporation,,,,,,,Phase 2,Industry,Interventional,3/11/2019,7/12/2019,https://ClinicalTrials.gov/show/NCT01340651
4053,Safety and Efficacy Study of a New Treatment for Symptoms of Urinary Incontinence,Completed,Has Results,Urinary Incontinence,Drug: UISH001|Drug: matching placebo,"Beech Tree Labs, Inc.|Norwich Clinical Research Associates Ltd.","Beech Tree Labs, Inc.",Norwich Clinical Research Associates Ltd.,,,,,,Phase 1|Phase 2,Industry|Other,Interventional,4/11/2019,5/12/2019,https://ClinicalTrials.gov/show/NCT01340066
4054,Safety and Efficacy of Asfotase Alfa in Juvenile Patients With Hypophosphatasia (HPP),Completed,Has Results,Hypophosphatasia (HPP),Biological: asfotase alfa,Alexion Pharmaceuticals,Alexion Pharmaceuticals,,,,,,,Phase 2,Industry,Interventional,9/9/2019,7/10/2019,https://ClinicalTrials.gov/show/NCT00952484
4055,Acute Pain Study Following Bunionectomy,Completed,Has Results,Pain,Drug: Hydrocodone/Acetaminophen Extended Release|Drug: Placebo,"AbbVie (prior sponsor, Abbott)|AbbVie","AbbVie (prior sponsor, Abbott)",AbbVie,,,,,,Phase 2,Industry,Interventional,4/11/2019,6/11/2019,https://ClinicalTrials.gov/show/NCT01333722
4056,Screening Study to Identify Pediatric Patients With Hunter Syndrome Who Demonstrate Evidence of Central Nervous System (CNS) Involvement and Who Are Currently Receiving Treatment With Elaprase®,Completed,Has Results,Hunter Syndrome,Behavioral: Neurobehavioral testing|Other: Visual and auditory assessments,Shire,Shire,,,,,,,,Industry,Observational,7/9/2019,7/11/2019,https://ClinicalTrials.gov/show/NCT00937794
4057,A Study of the Effect of LY2189265 on Two Blood Pressure Drugs,Completed,Has Results,"Diabetes Mellitus, Type 2",Biological: LY2189265|Drug: Metoprolol|Drug: Lisinopril|Drug: Placebo,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 1,Industry,Interventional,3/11/2019,8/11/2019,https://ClinicalTrials.gov/show/NCT01324388
4058,Comparison of Surgical Time and Efficiency of Total Knee Arthroplasty,Completed,Has Results,"Osteoarthritis, Knee",Other: Custom Patient Instrumentation|Other: Conventional Instruments,DePuy Orthopaedics,DePuy Orthopaedics,,,,,,,Not Applicable,Industry,Interventional,5/1/2010,8/1/2013,https://ClinicalTrials.gov/show/NCT01301950
4059,A Study Evaluating the of OPC-34712 in Subjects With Normal Hepatic Function and Hepatically Impaired Subjects,Completed,Has Results,Schizophrenia,Drug: OPC-34712,"Otsuka Pharmaceutical Development & Commercialization, Inc.","Otsuka Pharmaceutical Development & Commercialization, Inc.",,,,,,,Phase 1,Industry,Interventional,12/10/2019,7/11/2019,https://ClinicalTrials.gov/show/NCT01299454
4060,A Multiple Dose Study Of PF-04620110 In Type 2 Diabetes Patients,Completed,Has Results,Type 2 Diabetes Patients,Drug: PF-04620110|Drug: Placebo,Pfizer,Pfizer,,,,,,,Phase 1,Industry,Interventional,2/11/2019,5/11/2019,https://ClinicalTrials.gov/show/NCT01298518
4061,Study of Botulinum Toxin Type A for the Treatment of Patients With Idiopathic Overactive Bladder With Urinary Incontinence,Completed,Has Results,Overactive Bladder,Biological: onabotulinumtoxinA|Drug: normal saline,Allergan,Allergan,,,,,,,Phase 3,Industry,Interventional,9/9/2019,7/11/2019,https://ClinicalTrials.gov/show/NCT00910845
4062,Safety and Efficacy Study of Bimatoprost to Treat Hypotrichosis of the Eyelashes After Application to the Eyelid Margin,Completed,Has Results,Hypotrichosis,Drug: Bimatoprost 0.03% solution|Drug: Vehicle solution,Allergan,Allergan,,,,,,,Phase 3,Industry,Interventional,8/9/2019,5/11/2019,https://ClinicalTrials.gov/show/NCT00907426
4063,Multi-Reader Multi-Case Study to Identify Uterine Contractions Recorded From Laboring Patients by Practicing Clinicians,Completed,Has Results,Pregnancy - Labor Monitoring,,"Reproductive Research Technologies, LP","Reproductive Research Technologies, LP",,,,,,,,Industry,Observational,8/8/2019,1/10/2019,https://ClinicalTrials.gov/show/NCT01282723
4064,Comparison of SureCALL® EMG Labor Monitor® and Tocodynamometer to Intrauterine Pressure Catheter Measurement (IUPC) Measurement in Pregnant Women,Completed,Has Results,Pregnancy - Labor Monitoring,,"Reproductive Research Technologies, LP","Reproductive Research Technologies, LP",,,,,,,,Industry,Observational,8/8/2019,12/8/2019,https://ClinicalTrials.gov/show/NCT01282710
4065,"Safety, Tolerability and Immunogenicity Study of AV7909 Anthrax Vaccine in Healthy Adults",Completed,Has Results,Bacillus Anthracis (Anthrax) Infection,Biological: BioThrax|Biological: AV7909 Formulation 1|Biological: AV7909 Formulation 2|Biological: AV7909 Formulation 3|Biological: AV7909 Formulation 4|Drug: Control,Emergent BioSolutions|National Institute of Allergy and Infectious Diseases (NIAID)|Department of Health and Human Services,Emergent BioSolutions,National Institute of Allergy and Infectious Diseases (NIAID),Department of Health and Human Services,,,,,Phase 1,Industry|NIH|U.S. Fed,Interventional,12/10/2019,6/12/2019,https://ClinicalTrials.gov/show/NCT01263691
4066,A Clinical Study to Evaluate if Benzalkonium Chloride (BAK) in a Quinolone Eyedrop Reduces the Likelihood of Developing Resistant Organisms,Completed,Has Results,Anti-biotic Resistance,Drug: moxifloxacin 0.5% HCI ophthalmic solution|Drug: gatifloxacin ophthalmic solution 0.3%,Allergan,Allergan,,,,,,,Phase 4,Industry,Interventional,3/9/2019,10/9/2019,https://ClinicalTrials.gov/show/NCT00874887
4067,The Influence of Smoking Status on Prasugrel and Clopidogrel Treated Subjects Taking Aspirin and Having Stable Coronary Artery Disease,Completed,Has Results,Coronary Artery Disease,Drug: Prasugrel|Drug: Clopidogrel,"Daiichi Sankyo, Inc.","Daiichi Sankyo, Inc.",,,,,,,Phase 4,Industry,Interventional,11/10/2019,9/11/2019,https://ClinicalTrials.gov/show/NCT01260584
4068,Relative Potency of Formoterol Novolizer® 12 µg Compared to Formoterol Aerolizer® 12 µg,Completed,Has Results,Asthma,Drug: Formatris 24µg|Drug: Formatris 12µg|Drug: Foradil P 24µg|Drug: Foradil P 12µg,"MEDA Pharma GmbH & Co. KG|ClinResearch, GmbH|Trio Clinical Research, LLC, Raleigh, USA|NuCara Pharmacy, Waterloo, USA|Prof. Hochhaus, Gainesville, USA",MEDA Pharma GmbH & Co. KG,"ClinResearch, GmbH","Trio Clinical Research, LLC, Raleigh, USA|NuCara Pharmacy, Waterloo, USA|Prof. Hochhaus, Gainesville, USA","Trio Clinical Research, LLC, Raleigh, USA","NuCara Pharmacy, Waterloo, USA|Prof. Hochhaus, Gainesville, USA","NuCara Pharmacy, Waterloo, USA","Prof. Hochhaus, Gainesville, USA",Phase 2,Industry|Other,Interventional,12/10/2019,7/11/2019,https://ClinicalTrials.gov/show/NCT01256086
4069,Efficacy of an Intranasal Testosterone Product,Completed,Has Results,Hypogonadism,"Drug: 10.0 mg of Testosterone, 4.0% TID|Drug: 13.5 mg of Testosterone, 4.5% B.I.D|Drug: 11.25 mg of Testosterone, 4.5% T.I.D",Acerus Pharmaceuticals Corporation,Acerus Pharmaceuticals Corporation,,,,,,,Phase 2,Industry,Interventional,8/10/2019,12/10/2019,https://ClinicalTrials.gov/show/NCT01252745
4070,Study of ACUVUE® ADVANCE® PLUS Contact Lenses.,Completed,Has Results,Myopia,Device: Acuvue Advance Plus prePQ|Device: Acuvue Advance Plus postPQ,"Johnson & Johnson Vision Care, Inc.","Johnson & Johnson Vision Care, Inc.",,,,,,,Not Applicable,Industry,Interventional,10/10/2019,,https://ClinicalTrials.gov/show/NCT01244893
4071,A Study to Investigate the Bronchodilatory Effect of NVA237 in Patients With Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,Chronic Obstructive Pulmonary Disease,Drug: Placebo|Drug: NVA237,Novartis,Novartis,,,,,,,Phase 2,Industry,Interventional,2/9/2019,5/9/2019,https://ClinicalTrials.gov/show/NCT00856193
4072,A Controlled Clinical Study to Determine the Gingivitis Benefit of Flossing,Completed,Has Results,Gingivitis,Device: Experimental Floss,Procter and Gamble,Procter and Gamble,,,,,,,Phase 4,Industry,Interventional,1/9/2019,2/9/2019,https://ClinicalTrials.gov/show/NCT00855933
4073,ENDO GIA™ Stapler With ENDO GIA™ Reload With Tri-Staple™ Technology in a Pulmonary Resection,Completed,Has Results,Lung Cancer,Device: ENDO GIA™ Stapler with TRI-STAPLE™ Technology,Medtronic - MITG,Medtronic - MITG,,,,,,,Not Applicable,Industry,Interventional,11/10/2019,10/11/2019,https://ClinicalTrials.gov/show/NCT01241565
4074,A Study of LY2216684 in Participants With Impaired Hepatic Function,Completed,Has Results,"Depressive Disorder, Major",Drug: LY2216684,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 1,Industry,Interventional,10/10/2019,4/11/2019,https://ClinicalTrials.gov/show/NCT01241435
4075,A Phase II Trial of Panobinostat and Lenalidomide in Patients With Relapsed or Refractory Hodgkin's Lymphoma,Completed,Has Results,Adult Lymphocyte Depletion Hodgkin Lymphoma|Adult Lymphocyte Predominant Hodgkin Lymphoma|Adult Mixed Cellularity Hodgkin Lymphoma|Adult Nodular Lymphocyte Predominant Hodgkin Lymphoma|Adult Nodular Sclerosis Hodgkin Lymphoma|Recurrent Adult Hodgkin Lymphoma,Drug: panobinostat|Drug: lenalidomide,Ohio State University Comprehensive Cancer Center|Celgene|Novartis,Ohio State University Comprehensive Cancer Center,Celgene,Novartis,,,,,Phase 2,Other|Industry,Interventional,10/13/2011,11/16/2016,https://ClinicalTrials.gov/show/NCT01460940
4076,Pilot Dispensing Evaluation of a Plus Power Lens,Completed,Has Results,Hyperopia,Device: Acuvue Advance Plus|Device: Acuvue Advance,"Johnson & Johnson Vision Care, Inc.","Johnson & Johnson Vision Care, Inc.",,,,,,,Not Applicable,Industry,Interventional,10/10/2019,11/10/2019,https://ClinicalTrials.gov/show/NCT01228591
4077,Cefadroxil 500 mg Capsules in Normal Healthy Non-Smoking Male and Female Subjects.,Completed,Has Results,Healthy,Drug: Cefadroxil 500 mg Capsules|Drug: DURICEF® capsules 500 mg,Teva Pharmaceuticals USA,Teva Pharmaceuticals USA,,,,,,,Phase 1,Industry,Interventional,9/4/2019,10/4/2019,https://ClinicalTrials.gov/show/NCT00835081
4078,Famciclovir 500 mg Tablets Under Non-Fasting Conditions,Completed,Has Results,Healthy,Drug: Famciclovir 500 mg Tablets|Drug: Famvir® 500 mg Tablets,Teva Pharmaceuticals USA,Teva Pharmaceuticals USA,,,,,,,Phase 1,Industry,Interventional,8/4/2019,9/4/2019,https://ClinicalTrials.gov/show/NCT00834444
4079,Famciclovir 500 mg Tablets Under Fasting Conditions,Completed,Has Results,Healthy,Drug: Famciclovir 500 mg Tablets|Drug: Famvir® 500 mg Tablets,Teva Pharmaceuticals USA,Teva Pharmaceuticals USA,,,,,,,Phase 1,Industry,Interventional,8/4/2019,9/4/2019,https://ClinicalTrials.gov/show/NCT00834431
4080,Cefadroxil 500 mg Capsules Under Fasting Conditions,Completed,Has Results,Healthy,Drug: Cefadroxil 500 mg Capsules|Drug: DURICEF® capsules 500 mg,Teva Pharmaceuticals USA,Teva Pharmaceuticals USA,,,,,,,Phase 1,Industry,Interventional,9/4/2019,10/4/2019,https://ClinicalTrials.gov/show/NCT00834275
4081,Drug Interactions Between Voriconazole and Atazanavir Coadministered as Atazanavir/Ritonavir in Healthy Participants,Completed,Has Results,Human Immunodeficiency Virus Type 1 (HIV-1)|HIV Infections,Drug: Voriconazole|Drug: Atazanavir|Drug: Ritonavir,Bristol-Myers Squibb,Bristol-Myers Squibb,,,,,,,Phase 1,Industry,Interventional,9/9/2019,2/11/2019,https://ClinicalTrials.gov/show/NCT00833482
4082,Open Multi-centre Investigation to Evaluate Signs and Symptoms of Local Inflammation/Infection on Chronic Ulcers and Partial Thickness Burns When Using Mepilex Border Ag as an Anti-microbial Wound Dressing,Completed,Has Results,Inflammation|Burns|Ulcers,Device: Mepilex Border Ag,Molnlycke Health Care AB,Molnlycke Health Care AB,,,,,,,Phase 3,Industry,Interventional,9/10/2019,12/11/2019,https://ClinicalTrials.gov/show/NCT01214811
4083,A Study of Pharmacokinetic Drug Interaction Study of the Hedgehog Pathway Inhibitor GDC-0449 in Combination With Rosiglitazone or Combined Oral Contraceptive in Patients With Locally Advanced or Metastatic Solid Tumors That Are Refractory to Standard Therapy or for Whom No Standard Therapy Exists,Completed,Has Results,Solid Cancers,Drug: Vismodegib|Drug: Rosiglitazone|Drug: Norethindrone/ethinyl estradiol,"Genentech, Inc.","Genentech, Inc.",,,,,,,Phase 1,Industry,Interventional,11/10/2019,3/12/2019,https://ClinicalTrials.gov/show/NCT01209143
4084,Evaluation of Screening Methods for Treatment of Meibomian Gland Dysfunction,Completed,Has Results,Chalazion|Dry Eye Syndromes,Device: LipiFlow System,"TearScience, Inc.","TearScience, Inc.",,,,,,,Phase 2|Phase 3,Industry,Interventional,9/10/2019,1/11/2019,https://ClinicalTrials.gov/show/NCT01202747
4085,Bipap Automatic Servo Ventilation (autoSV) Advanced in Central Apnea Patients,Completed,Has Results,"Cheyne-Stokes Respiration|Sleep Apnea, Central",Device: BiPAP autoSV Advanced,Philips Respironics,Philips Respironics,,,,,,,Not Applicable,Industry,Interventional,9/10/2019,5/13/2019,https://ClinicalTrials.gov/show/NCT01199042
4086,Pilot Evaluation of a New Galyfilcon A Lens Prototype and Enfilcon A Lens,Completed,Has Results,Myopia,Device: galyfilcon A prototype lens|Device: enfilcon A lens,"Johnson & Johnson Vision Care, Inc.","Johnson & Johnson Vision Care, Inc.",,,,,,,Not Applicable,Industry,Interventional,8/10/2019,,https://ClinicalTrials.gov/show/NCT01192542
4087,Safety and Efficacy of a New Treatment in Vitrectomized Subjects With Diabetic Macular Edema,Completed,Has Results,Diabetic Macular Edema|Vitrectomy,Drug: Dexamethasone,Allergan,Allergan,,,,,,,Phase 2,Industry,Interventional,1/1/2009,12/1/2009,https://ClinicalTrials.gov/show/NCT00799227
4088,Comparison of Breathing Event Detection by a Continuous Positive Airway Pressure Device to Clinical Polysomnography,Completed,Has Results,Sleep Apnea Central|Cheyne-Stokes Respiration|Obstructive Sleep Apnea,Other: Manipulation of Positive Airway Pressure (PAP),Philips Respironics,Philips Respironics,,,,,,,Not Applicable,Industry,Interventional,9/10/2019,9/13/2019,https://ClinicalTrials.gov/show/NCT01175031
4089,Bivalent Norovirus Vaccine Study,Completed,Has Results,Gastroenteritis,Biological: NoV GI.1/GII.4 Bivalent VLP Vaccine|Biological: Saline,Takeda,Takeda,,,,,,,Phase 1,Industry,Interventional,9/3/2010,1/9/2013,https://ClinicalTrials.gov/show/NCT01168401
4090,A Comparison of Visual Function After Bilateral Implantation of Presbyopia-correcting Intraocular Lenses (IOLs),Completed,Has Results,Cataract,Device: ReSTOR +3|Device: Tecnis MF,Alcon Research,Alcon Research,,,,,,,Phase 4,Industry,Interventional,7/10/2019,,https://ClinicalTrials.gov/show/NCT01166971
4091,Pediatric Nasal Mask Usability Study,Completed,Has Results,Obstructive Sleep Apnea,Device: Pixi pediatric mask,ResMed,ResMed,,,,,,,Not Applicable,Industry,Interventional,6/10/2019,11/11/2019,https://ClinicalTrials.gov/show/NCT01154322
4092,Clinical Study to Examine Brushing on Dental Implants,Completed,Has Results,Gingival Diseases,"Drug: Fluoride|Drug: Triclosan, fluoride",Colgate Palmolive,Colgate Palmolive,,,,,,,Phase 3,Industry,Interventional,4/7/2019,8/8/2019,https://ClinicalTrials.gov/show/NCT00762619
4093,"A Study To Investigate The Pharmacokinetics, Safety And Tolerability Of An Intravenous And Oral Form Of A Compound In Subjects With Varying Degrees Of Renal Impairment And Normal Renal Function",Completed,Has Results,Pneumonia,"Drug: CP-70,429 and PF-03709270",Pfizer,Pfizer,,,,,,,Phase 1,Industry,Interventional,11/8/2019,3/10/2019,https://ClinicalTrials.gov/show/NCT00759564
4094,Study to Evaluate Effect of Pandel Cream 0.1% on HPA Axis in Pediatric and Adult Population,Completed,Has Results,Psoriasis|Atopic Dermatitis,Drug: Pandel Cream 0.1%,Fougera Pharmaceuticals Inc.,Fougera Pharmaceuticals Inc.,,,,,,,Phase 4,Industry,Interventional,6/4/2019,8/5/2019,https://ClinicalTrials.gov/show/NCT01137032
4095,Hypothalamic-Pituitary-Adrenal (HPA) Axis Study in Adult and Adolescent Subjects With Perennial Allergic Rhinitis (PAR),Completed,Has Results,Perennial Allergic Rhinitis,Drug: Placebo Nasal Aerosol|Drug: Prednisone capsules|Drug: Placebo Prednisone Capsules|Drug: Beclomethasone dipropionate,"Teva Branded Pharmaceutical Products, R&D Inc.|Teva Pharmaceutical Industries","Teva Branded Pharmaceutical Products, R&D Inc.",Teva Pharmaceutical Industries,,,,,,Phase 3,Industry,Interventional,6/10/2019,9/10/2019,https://ClinicalTrials.gov/show/NCT01133626
4096,A Study of IMC-RON8 in Advanced Solid Tumors,Completed,Has Results,Cancer,Biological: IMC-RON8,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 1,Industry,Interventional,5/10/2019,11/13/2019,https://ClinicalTrials.gov/show/NCT01119456
4097,Comparing Efficacy and Safety of Combigan With Timolol Adjunctive to Xalatan in Glaucoma or Ocular Hypertension Subjects,Completed,Has Results,Glaucoma|Ocular Hypertension,Drug: Fixed combination of brimonidine tartrate 0.2% timolol maleate 0.5%|Drug: timolol maleate 0.5%|Drug: latanoprost 0.005%,Allergan,Allergan,,,,,,,Phase 4,Industry,Interventional,7/8/2019,12/9/2019,https://ClinicalTrials.gov/show/NCT00735449
4098,An Inpatient Performance Evaluation of a New Subcutaneous Glucose Sensor,Completed,Has Results,Type 1 Diabetes Mellitus|Type 2 Diabetes Mellitus,Device: Sensor wear,Medtronic Diabetes,Medtronic Diabetes,,,,,,,Not Applicable,Industry,Interventional,4/10/2019,11/10/2019,https://ClinicalTrials.gov/show/NCT01112696
4099,Optimization and Refinement of Technique in In-Office Sinus Dilation 2,Completed,Has Results,Sinusitis,Device: Relieva Balloon Sinuplasty System,Acclarent,Acclarent,,,,,,,,Industry,Observational,4/10/2019,7/12/2019,https://ClinicalTrials.gov/show/NCT01107379
4100,"A Dose Finding Study Of A New Medication, PF-00337210 That Will Possibly Decrease Blood Supply To Tumors",Completed,Has Results,Neoplasm,Drug: PF-00337210,"Pfizer|University of Wisconsin, Madison",Pfizer,"University of Wisconsin, Madison",,,,,,Phase 1,Industry|Other,Interventional,5/6/2019,9/11/2019,https://ClinicalTrials.gov/show/NCT01105533
4101,A Clinical Study to Assess the Safety of a New Influenza Vaccine,Completed,Has Results,Healthy,Biological: Monovalent Frozen FluMist®|Other: Placebo,MedImmune LLC,MedImmune LLC,,,,,,,Phase 4,Industry,Interventional,5/10/2019,12/10/2019,https://ClinicalTrials.gov/show/NCT01104493
4102,Dose Titration Investigation of the Pharmacokinetics of Testosterone Transdermal Systems in Hypogonadal Men,Completed,Has Results,Hypogonadism,Drug: Testerone Transdermal System,Watson Pharmaceuticals,Watson Pharmaceuticals,,,,,,,Phase 1,Industry,Interventional,4/10/2019,9/10/2019,https://ClinicalTrials.gov/show/NCT01104246
4103,"MM-111 in Combination With Herceptin in Patients With Advanced Her2 Amplified, Heregulin Positive Breast Cancer",Completed,Has Results,Breast Neoplasms,Drug: MM-111 + Herceptin,Merrimack Pharmaceuticals,Merrimack Pharmaceuticals,,,,,,,Phase 1,Industry,Interventional,4/10/2019,7/13/2019,https://ClinicalTrials.gov/show/NCT01097460
4104,The Effects of Co-admin of Colesevelam and Sitagliptin on Glucose Metabolism in Subjects With Type 2 Diabetes Mellitus,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Colesevelam HCl|Drug: Sitagliptin,KineMed,KineMed,,,,,,,Not Applicable,Industry,Interventional,3/10/2019,7/11/2019,https://ClinicalTrials.gov/show/NCT01092663
4105,Pilot Study Evaluating the Safety and Performance of the GeNO NITROsyl Delivery System for Inhaled Nitric Oxide,Completed,Has Results,Pulmonary Arterial Hypertension,Drug: Nitric Oxide generated by the GeNO nitrosyl delivery system,Geno LLC,Geno LLC,,,,,,,Phase 2,Industry,Interventional,10/10/2019,7/11/2019,https://ClinicalTrials.gov/show/NCT01092559
4106,"Study on ASTRA TECH Implant System, OsseoSpeed™ Implants in Patients Missing All Teeth in the Upper Jaw, Restored With Provisional Teeth Within 24 Hours",Completed,Has Results,"Jaw, Edentulous","Device: ASTRA TECH Implant System, OsseoSpeed™, all dimensions.",Dentsply Sirona Implants,Dentsply Sirona Implants,,,,,,,Not Applicable,Industry,Interventional,5/5/2019,3/12/2019,https://ClinicalTrials.gov/show/NCT00711022
4107,Evaluation of PillCam® Express Capsule Endoscopy Delivery System,Completed,Has Results,Small Bowel Disease|Inflammatory Bowel Disease,Device: PillCam® Express Capsule Endoscopy Delivery System,Given Imaging Ltd.,Given Imaging Ltd.,,,,,,,Not Applicable,Industry,Interventional,10/9/2019,5/10/2019,https://ClinicalTrials.gov/show/NCT01088646
4108,Oxygen Saturation Alarms in the Neonatal Intensive Care Unit,Completed,Has Results,Hypoxemia,,Medtronic - MITG,Medtronic - MITG,,,,,,,,Industry,Observational,1/10/2019,6/10/2019,https://ClinicalTrials.gov/show/NCT01085539
4109,Oxygen Monitoring of Patients After Surgery on the Hospital General Care Floor,Completed,Has Results,Sleep Disordered Breathing,Device: Oxygen Monitoring,Medtronic - MITG,Medtronic - MITG,,,,,,,,Industry,Observational,2/10/2019,8/10/2019,https://ClinicalTrials.gov/show/NCT01082575
4110,Safety and Effects of Brimonidine Intravitreal Implant in Patients With Glaucomatous Optic Neuropathy,Completed,Has Results,"Glaucoma, Open-Angle",Drug: 400 ug Brimonidine Implant|Drug: 200 ug Brimonidine Implant|Drug: Sham (no implant),Allergan,Allergan,,,,,,,Phase 2,Industry,Interventional,9/8/2019,8/11/2019,https://ClinicalTrials.gov/show/NCT00693485
4111,Safety and Efficacy of Bimatoprost Solution in Increasing Overall Eyelash Prominence,Completed,Has Results,Eyelashes,Drug: Bimatoprost 0.03% sterile solution|Drug: vehicle sterile solution,Allergan,Allergan,,,,,,,Phase 3,Industry,Interventional,4/7/2019,12/7/2019,https://ClinicalTrials.gov/show/NCT00693420
4112,Safety and Immune Response of Candidate H1N1 Influenza Vaccine GSK2340274A Following Seasonal Influenza Vaccination in Adults,Completed,Has Results,Influenza,Biological: GSK Biologicals' FluLaval®|Biological: Placebo (saline)|Biological: GSK Biologicals' investigational H1N1 Influenza Vaccine - GSK2340274A|Biological: GSK Biologicals' investigational H1N1 Influenza Vaccine - GSK2340273A,GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 1,Industry,Interventional,2/9/2010,10/21/2011,https://ClinicalTrials.gov/show/NCT01059617
4113,"A Trial To Assess The Safety, Tolerability, Pharmacokinetics, And Pharmacodynamics Of Single Doses Of PF-04937319 In Subjects With Type 2 Diabetes Mellitus",Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Placebo|Drug: PF-04937319,Pfizer,Pfizer,,,,,,,Phase 1,Industry,Interventional,2/10/2019,5/10/2019,https://ClinicalTrials.gov/show/NCT01044537
4114,"Desoximetasone Spray 0.25%, Hypothalamic Pituitary Adrenal (HPA) Axis Study",Completed,Has Results,Psoriasis,Drug: Desoximetasone 0.25% spray,Taro Pharmaceuticals USA,Taro Pharmaceuticals USA,,,,,,,Phase 2,Industry,Interventional,2/10/2019,6/10/2019,https://ClinicalTrials.gov/show/NCT01043393
4115,Vistakon Investigational Lens Worn as a Single Use Daily Wear,Completed,Has Results,Myopia,Device: narafilcon B|Device: etafilcon A,"Johnson & Johnson Vision Care, Inc.","Johnson & Johnson Vision Care, Inc.",,,,,,,Not Applicable,Industry,Interventional,10/1/2009,12/1/2009,https://ClinicalTrials.gov/show/NCT01031004
4116,Clinical Evaluation of T.R.U.E. TEST® Panel 3.2 Allergens: Dose Response,Completed,Has Results,Contact Dermatitis,Biological: T.R.U.E. TEST® Skin Patch Test: Dose Response Allergens,Allerderm,Allerderm,,,,,,,Phase 2,Industry,Interventional,4/8/2019,9/9/2019,https://ClinicalTrials.gov/show/NCT00640250
4117,"Treatment of Androgenetic Alopecia in Females, 12 Beam",Completed,Has Results,Androgenetic Alopecia|Hair Loss|Female Pattern Baldness,Device: HairMax LaserComb 2009 model 12 beam|Device: Sham Device,"Lexington International, LLC","Lexington International, LLC",,,,,,,Not Applicable,Industry,Interventional,1/10/2019,3/11/2019,https://ClinicalTrials.gov/show/NCT01016964
4118,"Efficacy, Safety, and Tolerability of TD1414 2% Cream in Impetigo and Secondarily Infected Traumatic Lesions (SITL)",Completed,Has Results,Impetigo|Secondarily Infected Traumatic Lesions,Drug: TD1414 2% cream|Drug: Bactroban® (mupirocin) 2% cream,LEO Pharma,LEO Pharma,,,,,,,Phase 2,Industry,Interventional,2/8/2019,6/9/2019,https://ClinicalTrials.gov/show/NCT00626795
4119,Abiraterone Post Ketoconazole for Prostate Cancer,Completed,Has Results,Prostate Cancer,Drug: Abiraterone acetate,"University of California, San Francisco|Johnson & Johnson|Cougar Biotechnology, Inc.","University of California, San Francisco",Johnson & Johnson,"Cougar Biotechnology, Inc.",,,,,Phase 2,Other|Industry,Interventional,9/10/2010,3/14/2016,https://ClinicalTrials.gov/show/NCT01199146
