CTID,Title,Conditions,Results First Posted,Ticker
NCT02415127,"Safety, Tolerability and Efficacy of ACTIMMUNE® Dose Escalation in Friedreich's Ataxia",Friedreich's Ataxia,12/8/2017,
NCT02405780,"A Study to Compare FKB327 Long-term Safety, Efficacy and Immunogenicity With Humira® in Rheumatoid Arthritis Patients","Arthritis, Rheumatoid",3/26/2019,
NCT02260791,A Study to Compare FKB327 Efficacy and Safety With Humira® in Rheumatoid Arthritis Patients,"Arthritis, Rheumatoid",9/20/2017,
NCT01553747,"Efficacy, Safety, and Tolerability of Eluxadoline in the Treatment of Participants With Diarrhea-Predominant Irritable Bowel Syndrome (IBS-d)",Irritable Bowel Syndrome,7/30/2018,
NCT01553591,"Efficacy, Safety, and Tolerability of Eluxadoline in the Treatment of Participants With Diarrhea-Predominant Irritable Bowel Syndrome (IBS-d)",Irritable Bowel Syndrome,9/3/2018,
NCT02952898,"Study Comparing GDC 695 and Diclofenac Sodium Gel, 3% in Subjects With Actinic Keratoses",Actinic Keratosis,1/10/2019,
NCT01494467,Phase 3 Papulopustular Rosacea Study,Papulopustular Rosacea,1/16/2015,
NCT01493687,Phase 3 Papulopustular Rosacea Study,Papulopustular Rosacea (PPR),1/16/2015,
NCT01355471,Phase 3 Efficacy and Safety Study of CD07805/47 Topical Gel in Subjects With Facial Erythema Associated With Rosacea,Rosacea,11/21/2013,
NCT01355458,Phase 3 Efficacy and Safety Study of CD07805/47 Topical Gel in Subjects With Facial Erythema Associated With Rosacea,Rosacea,11/21/2013,
NCT01318733,Study of CD07805/47 Topical Gel in Subjects With Facial Erythema Associated With Rosacea,Rosacea,1/8/2014,
NCT00688064,Adapalene-BPO Gel Associated With Doxycycline Hyclate 100 mg in the Treatment of Severe Acne Vulgaris,Severe Acne Vulgaris,3/31/2010,
NCT00687908,Adapalene-Benzoy Peroxide (BPO) Gel in the Treatment of Acne Vulgaris as a 6-month Maintenance,Acne,9/24/2010,
NCT00599521,"Clinical Study to Test the Efficacy and Safety of Adapalene, 0.1%",Acne Vulgaris,4/19/2011,
NCT00598832,"Clinical Study to Test the Efficacy and Safety of Adapalene, 0.1%",Acne Vulgaris,4/19/2011,
NCT00421993,A Study to Demonstrate the Efficacy and Safety of Adapalene/Benzoyl Peroxide Topical Gel in Subjects With Acne Vulgaris,Acne Vulgaris,3/11/2009,
NCT00647556,Adapalene Gel 0.3% Versus Tretinoin 0.05% Emollient Cream for Treatment of Photodamage,Photoaging,2/24/2011,
NCT01659853,Efficacy and Safety Study Comparing CD07805/47 Gel 0.5% to Azelaic Acid Gel 15% in Subjects With Erythema of Rosacea,Erythema|Rosacea,7/10/2014,
NCT00658788,"Safety & Effectiveness of Clobex Spray, Followed by Calcitriol Ointment in Management of Plaque Psoriasis",Psoriasis,8/27/2014,
NCT01880320,"Multi-center, Randomized, Double-blind Efficacy and Safety of CD0271 0.3%/CD1579 2.5 % Topical Gel in Acne Vulgaris",Acne Vulgaris,9/9/2016,
NCT01053312,PET Imaging of Brain Amyloid in Normal Pressure Hydrocephalus,Normal Pressure Hydrocephalus,6/5/2012,
NCT01265394,Positron Emission Tomography (PET) Amyloid Imaging of the Brain in Healthy Young Adult Subjects,Healthy,6/21/2013,
NCT01028053,Assess the Prognostic Usefulness of Flutemetamol (18F) Injection for Identifying Subjects With Amnestic Mild Cognitive Impairment Who Will Convert to Clinically Probable Alzheimer's Disease,Mild Cognitive Impairment|Alzheimer's Disease,9/11/2014,
NCT00126438,Meta-Iodobenzylguanidine (123I-mIBG) Scintigraphy Imaging in Patients With Heart Failure and Control Subjects Without Cardiovascular Disease,"Heart Failure, Congestive",5/5/2017,
NCT00126425,Meta-Iodobenzylguanidine Scintigraphy Imaging in Patients With Heart Failure and Control Subjects Without Cardiovascular Disease,"Heart Failure, Congestive",12/13/2016,
NCT01056640,Telemonitoring Versus Usual Care,Health Care Quality|Health Care Access,2/8/2013,
NCT00662038,Open-Label Study of the Long Term Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis,3/29/2017,
NCT01366209,Efficacy and Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis,3/12/2015,
NCT00287729,Safety and Efficacy of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,6/13/2011,
NCT00287716,Three-Arm Study of the Safety and Efficacy of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,6/13/2011,
NCT01007071,Effects of Growth Hormone on Cognition and Cerebral Metabolism in Adults With Growth Hormone Deficiency,Hypopituitarism,11/17/2017,
NCT00384449,Lucentis (Ranibizumab) for Eales' Disease,Eales' Disease,6/11/2019,
NCT00626782,Lucentis Versus Mitomycin C During Glaucoma Surgery,Glaucoma,3/13/2015,
NCT02698566,A Study in Patients With Neovascular Age Related Macular Degeneration or Macular Edema Secondary To Retinal Vein Occlusion to Evaluate Usability of the Ranibizumab (Lucentis®) Prefilled Syringe (PFS),Macular Edema,7/26/2017,
NCT01120184,A Study of Trastuzumab Emtansine (T-DM1) Plus Pertuzumab/Pertuzumab Placebo Versus Trastuzumab [Herceptin] Plus a Taxane in Participants With Metastatic Breast Cancer (MARIANNE),Breast Cancer,2/23/2017,
NCT01059630,"A Study to Investigate the Efficacy and Safety of Bendamustine Compared With Bendamustine+Obinutuzumab (GA101) in Participants With Rituximab-Refractory, Indolent Non-Hodgkin's Lymphoma (GADOLIN)",Non-Hodgkin's Lymphoma,11/17/2016,
NCT00567190,A Study to Evaluate Pertuzumab + Trastuzumab + Docetaxel vs. Placebo + Trastuzumab + Docetaxel in Previously Untreated HER2-positive Metastatic Breast Cancer,Metastatic Breast Cancer,9/13/2012,
NCT00022672,A Study to Evaluate the Efficacy and Safety of Herceptin® (Trastuzumab) in Combination With Arimidex® (Anastrozole) an Aromatase Inhibitor Compared to Arimidex® Alone in Patients With Metastatic Breast Cancer,Breast Cancer,6/13/2013,
NCT00500539,Open Label Study to Assess Safety and Immunogenicity of Omalizumab Liquid Formulation.,Asthma,4/27/2011,
NCT02053610,CLL11: A Study of Obinutuzumab (RO5072759 [GA101]) With Chlorambucil in Patients With Previously Untreated Chronic Lymphocytic Leukemia (Stage 2),"Lymphocytic Leukemia, Chronic",10/10/2014,
NCT01998880,CLL11: A Study of Rituximab With Chlorambucil or Chlorambucil Alone in Patients With Previously Untreated Chronic Lymphocytic Leukemia (Stage 1b),"Lymphocytic Leukemia, Chronic",1/28/2014,
NCT01010061,CLL11: A Study of Obinutuzumab (RO5072759 [GA101]) With Chlorambucil in Patients With Previously Untreated Chronic Lymphocytic Leukemia (Stage 1a),"Lymphocytic Leukemia, Chronic",4/1/2014,
NCT01662063,A Long-Term Extension Study of WA22762 and NA25220 of Subcutaneous (SC) Tocilizumab (TCZ) in Moderate to Severe Rheumatoid Arthritis (RA),Rheumatoid Arthritis,10/12/2016,
NCT01292473,"A Study to Evaluate the Efficacy, Response Duration and Safety of Xolair (Omalizumab) in Patients With Chronic Idiopathic Urticaria (CIU)/Chronic Spontaneous Urticaria (CSU) Who Remain Symptomatic Despite Antihistamine Treatment (H1)",Chronic Idiopathic Urticaria,9/2/2013,
NCT01287117,A Study of the Efficacy and Safety of Omalizumab (Xolair) in Patients With Chronic Idiopathic Urticaria (CIU)/Chronic Spontaneous Urticaria (CSU) Who Remain Symptomatic Despite Antihistamine (H1) Treatment,Chronic Idiopathic Urticaria,10/18/2013,
NCT01264939,"A Safety Study of Xolair (Omalizumab) in Patients With Chronic Idiopathic Urticaria (CIU) Who Remain Symptomatic Despite Treatment With H1 Antihistamines, H2 Blockers, and/or Leukotriene Receptor Antagonists",Chronic Idiopathic Urticaria,11/26/2013,
NCT00891735,A Study of Ranibizumab Administered Monthly or on an As-needed Basis in Patients With Subfoveal Neovascular Age-related Macular Degeneration (HARBOR),Age-related Macular Degeneration,1/18/2013,
NCT00257608,A Study Comparing Bevacizumab Therapy With or Without Erlotinib for First-Line Treatment of Non-Small Cell Lung Cancer (ATLAS),Non-Small Cell Lung Cancer,3/15/2016,
NCT01198327,Extended Follow-up of Patients With Macular Edema Due to Retinal Vein Occlusion,Retinal Vein Occlusion,1/13/2014,
NCT01489189,Prompt Panretinal Photocoagulation Versus Ranibizumab+Deferred Panretinal Photocoagulation for Proliferative Diabetic Retinopathy,Proliferative Diabetic Retinopathy,6/1/2016,
NCT00104299,Rituximab for the Treatment of Wegener's Granulomatosis and Microscopic Polyangiitis,Vasculitis|Wegener's Granulomatosis|Microscopic Polyangiitis,8/25/2011,
NCT02872103,Placebo-controlled Trial of F-627 in Women With Breast Cancer Receiving Myelotoxic Chemotherapy,Breast Cancer|Neutropenia,3/26/2019,
NCT00973362,Clinical Evaluation of the APTIMA® HPV Assay Using the TIGRIS® System,Human Papillomavirus Infection,1/6/2017,
NCT01191762,Sevelamer and Secondary Hyperparathyroidism in Chronic Kidney Disease,Hyperparathyroidism|Chronic Kidney Disease,7/31/2014,
NCT00398866,A Study of Hyaluronan for the Treatment of Osteoarthritis in the Thumb,Osteoarthritis,7/7/2017,
NCT00444626,A Study to Compare the Safety and Effectiveness of a Non-FDA Approved Device Dermal Gel Extra (DGE) and an FDA Approved Device for the Correction of Nasolabial Folds (NLFs),Facial Wrinkles at the Nasolabial Folds,4/22/2015,
NCT01074944,A Study of Eliglustat Tartrate (Genz-112638) in Patients With Gaucher Disease to Evaluate Once Daily Versus Twice Daily Dosing (EDGE),Gaucher Disease,12/2/2016,
NCT00943111,A Study of Eliglustat Tartrate (Genz-112638) in Patients With Gaucher Disease Who Have Reached Therapeutic Goals With Enzyme Replacement Therapy (ENCORE),"Gaucher Disease, Type 1",9/4/2014,
NCT00891202,A Study of Eliglustat Tartrate (Genz-112638) in Patients With Gaucher Disease (ENGAGE),"Gaucher Disease, Type 1",9/3/2014,
NCT00364351,Efficacy Trial Comparing ZD6474 With Erlotinib in NSCLC After Failure of at Least One Prior Chemotherapy,Non Small Cell Lung Cancer,5/24/2011,
NCT00317642,A Study of Clofarabine and Cytarabine for Older Patients With Relapsed or Refractory Acute Myelogenous Leukemia (AML)(CLASSIC I),Acute Myelogenous Leukemia,9/15/2011,
NCT00312377,ZACTIMA (an Anti-EGFR / Anti-VEGF Agent) Combined With Docetaxel Compared to Docetaxel in Non-small Cell Lung Cancer,Non-small Cell Lung Cancer|Lung Cancer,5/24/2011,
NCT00103662,Mobilization of Stem Cells With AMD3100 (Plerixafor) in Multiple Myeloma Patients,Multiple Myeloma,9/29/2010,
NCT00103610,Mobilization of Stem Cells With AMD3100 (Plerixafor) in Non-Hodgkin's Lymphoma Patients,"Lymphoma, Non-Hodgkin",9/29/2010,
NCT00158600,A Placebo-Controlled Study of Safety and Effectiveness of Myozyme (Alglucosidase Alfa) in Patients With Late-Onset Pompe Disease,Pompe Disease (Late-onset)|Glycogen Storage Disease Type II (GSD-II)|Acid Maltase Deficiency Disease|Glycogenosis 2,7/23/2010,
NCT00701415,"A Study of Two Fabrazyme (Agalsidase Beta) Dosing Regimens in Treatment-naïve, Male Pediatric Patients Without Severe Symptoms",Fabry Disease,6/29/2016,
NCT00404924,ZD6474 (ZACTIMA™) Phase III Study in EGFR Failures,Non-Small-Cell Lung Carcinoma,3/26/2012,
NCT00086580,"Fludarabine (Fludara®) Plus Alemtuzumab (CAMPATH®, MabCampath®) vs Fludarabine Alone in B-Cell Chronic Lymphocytic Leukemia (B-CLL) Patients",B-Cell Chronic Lymphocytic Leukemia,8/11/2011,
NCT00727597,A Study in Underrepresented Patient Population or Regimen Tolerability: SUPPoRT,Human Immunodeficiency Virus Infections,7/2/2013,
NCT00095121,Safety and Efficacy of Adefovir Dipivoxil in Children and Adolescents With Chronic Hepatitis B,Chronic Hepatitis B,6/3/2011,GILD
NCT01174173,Ranolazine and Pulmonary Hypertension,Angina|Pulmonary Arterial Hypertension,4/23/2015,GILD
NCT00112047,Tenofovir Disoproxil Fumarate/Emtricitabine/Efavirenz Versus Combivir/Efavirenz in Antiretroviral-Naive HIV-1 Infected Subjects,HIV Infections,10/13/2010,GILD
NCT01440569,Safety and Efficacy of Cobicistat-boosted Darunavir in HIV Infected Adults,Acquired Immunodeficiency Syndrome|HIV Infections,10/28/2014,GILD
NCT01178073,A Study of First-Line Ambrisentan and Tadalafil Combination Therapy in Subjects With Pulmonary Arterial Hypertension (PAH),"Hypertension, Pulmonary",4/28/2015,GILD
NCT03118843,Safety And Efficacy of Sofosbuvir/Velpatasvir/Voxilaprevir Fixed-Dose Combination for 12 Weeks in Adults Who Participated in a Prior Gilead-Sponsored HCV Treatment Study,Hepatitis C Virus Infection,4/3/2019,GILD
NCT02707601,"Efficacy, Safety, and Tolerability of Ledipasvir/Sofosbuvir (LDV/SOF) Treatment for HIV/HCV Co-infected Participants Who Switch to Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide (E/C/F/TAF) or Emtricitabine/Rilpivirine/Tenofovir Alafenamide (F/R/TAF) Prior to LDV/SOF HCV Treatment",HIV-1 Infection|HCV Infection,10/9/2018,GILD
NCT02652624,"Safety and Efficacy of Switching to a FDC of B/F/TAF From E/C/F/TAF, E/C/F/TDF, or ATV+RTV+FTC/TDF in Virologically Suppressed HIV-1 Infected Women",HIV-1 Infection,11/2/2018,GILD
NCT02639338,Safety and Efficacy of SOF/VEL/VOX FDC for 8 Weeks and SOF/VEL for 12 Weeks in Adults Chronic Genotype 3 HCV Infection and Cirrhosis,Hepatitis C Virus Infection,11/14/2017,GILD
NCT02639247,Safety and Efficacy of SOF/VEL/VOX FDC for 12 Weeks and SOF/VEL for 12 Weeks in DAA-Experienced Adults With Chronic HCV Infection Who Have Not Received an NS5A Inhibitor,Hepatitis C Virus Infection,11/6/2017,GILD
NCT02607800,Safety and Efficacy of Sofosbuvir/Velpatasvir/Voxilaprevir and Sofosbuvir/Velpatasvir in Adults With Chronic HCV Infection Who Have Not Previously Received Treatment With Direct-Acting Antiviral Therapy,Hepatitis C,11/8/2017,GILD
NCT02607735,Safety and Efficacy of Sofosbuvir/Velpatasvir/Voxilaprevir in Adults With Chronic HCV Infection Who Have Previously Received Treatment With Direct-Acting Antiviral Therapy,Hepatitis C,12/13/2017,GILD
NCT02605954,Safety and Efficacy of Switching From Regimens of ABC/3TC + a 3rd Agent to E/C/F/TAF Fixed-Dose Combination (FDC) in Virologically-Suppressed HIV 1 Infected Adults,HIV-1 Infection,7/13/2018,GILD
NCT02480712,Efficacy and Safety of Sofosbuvir/Velpatasvir Fixed Dose Combination for 12 Weeks in Adults With Chronic Hepatitis C Virus (HCV) and Human Immunodeficiency Virus (HIV)-1 Coinfection,Hepatitis C Virus Infection,6/1/2017,GILD
NCT02469246,Switch Study to Evaluate F/TAF in HIV-1 Infected Adults Who Are Virologically Suppressed on Regimens Containing ABC/3TC,HIV-1 Infection,6/11/2018,GILD
NCT02346721,Sofosbuvir/Velpatasvir Fixed-Dose Combination in Adults With Chronic HCV Infection,Hepatitis C Virus Infection,5/3/2017,GILD
NCT02345252,Switch Study to Evaluate the Safety and Efficacy of Emtricitabine/Rilpivirine/Tenofovir Alafenamide (FTC/RPV/TAF) Fixed Dose Combination (FDC) in HIV-1 Positive Adults Who Are Virologically Suppressed on Emtricitabine/Rilpivirine/Tenofovir Disoproxil Fumarate (FTC/RPV/TDF),HIV-1 Infection,12/8/2017,GILD
NCT02345226,"Study to Evaluate Switching From a Regimen Consisting of Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate (EFV/FTC/TDF) Fixed Dose Combination (FDC) to Emtricitabine/Rilpivirine/Tenofovir Alafenamide (FTC/RPV/TAF) FDC in Virologically-Suppressed, HIV-1 Infected Adults",HIV-1 Infection,10/19/2017,GILD
NCT02220998,Comparison of Sofosbuvir/Velpatasvir Fixed Dose Combination for 12 Weeks With Sofosbuvir and Ribavirin for 12 Weeks in Adults With Chronic Genotype 2 HCV Infection,Hepatitis C Virus Infection,11/15/2016,GILD
NCT02201953,Comparison of Sofosbuvir/Velpatasvir Fixed Dose Combination for 12 Weeks With Sofosbuvir and Ribavirin for 24 Weeks in Adults With Chronic Genotype 3 HCV Infection,Hepatitis C Virus Infection,10/26/2016,GILD
NCT02201940,Sofosbuvir/Velpatasvir Fixed Dose Combination for 12 Weeks in Adults With Chronic HCV Infection,Hepatitis C Virus Infection,9/16/2016,GILD
NCT02201901,Sofosbuvir/Velpatasvir Fixed-Dose Combination in Adults With Chronic HCV Infection and Child-Pugh Class B Cirrhosis,Hepatitis C Virus Infection,12/14/2016,GILD
NCT02121795,Switch Study to Evaluate F/TAF in HIV-1 Positive Participants Who Are Virologically Suppressed on Regimens Containing FTC/TDF,HIV-1 Infection,11/30/2016,GILD
NCT02073656,Efficacy and Safety of Ledipasvir/Sofosbuvir Fixed-Dose Combination for 12 Weeks in Subjects With Chronic Genotype 1 or 4 HCV and HIV-1 Co-infection,Hepatitis C Virus|HIV,10/21/2016,GILD
NCT02071082,Efficacy and Safety of E/C/F/TAF (Genvoya®) in HIV-1/Hepatitis B Co-infected Adults,HIV|HBV,4/4/2016,GILD
NCT01968551,Phase 3 Open-Label Study to Evaluate Switching From Optimized Stable Antiretroviral Regimens Containing Darunavir to Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide (E/C/F/TAF) Fixed Dose Combination (FDC) Plus Darunavir (DRV) in Treatment Experienced HIV-1 Positive Adults,HIV-1|HIV Infections|Acquired Immunodeficiency Syndrome,11/1/2016,GILD
NCT01962441,SOF (Sovaldi®) +RBV for 16 or 24 Weeks and SOF+RBV+Peg-IFN for 12 Weeks in Adults With Genotype 2 or 3 Chronic HCV Infection,Hepatitis C,2/5/2016,GILD
NCT01851330,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed-Dose Combination ± Ribavirin for the Treatment of HCV (ION-3),Chronic Hepatitis C Virus,12/30/2014,GILD
NCT01818596,Open-label Safety Study of E/C/F/TAF (Genvoya®) in HIV-1 Positive Patients With Mild to Moderate Renal Impairment,HIV|HIV Infections,2/18/2016,GILD
NCT01797445,"Study to Evaluate the Safety and Efficacy of E/C/F/TAF (Genvoya®) Versus E/C/F/TDF (Stribild®) in HIV-1 Positive, Antiretroviral Treatment-Naive Adults",HIV|HIV Infections,1/8/2016,GILD
NCT01780506,"Study to Evaluate the Safety and Efficacy of E/C/F/TAF (Genvoya®) Versus E/C/F/TDF (Stribild®) in HIV-1 Positive, Antiretroviral Treatment-Naive Adults",HIV|HIV Infections,1/8/2016,GILD
NCT01768286,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed-Dose Combination ± Ribavirin in Treatment-Experienced Subjects With Genotype 1 HCV Infection,Chronic Hepatitis C Virus,11/26/2014,GILD
NCT01705574,"Safety and Efficacy of E/C/F/TDF (Stribild®) Versus RTV-Boosted ATV Plus FTC/TDF (Truvada®) in HIV-1 Infected, Antiretroviral Treatment-Naive Women",Acquired Immunodeficiency Syndrome|HIV Infections,3/10/2016,GILD
NCT01701401,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed-Dose Combination (FDC) With and Without Ribavirin for the Treatment of HCV,Chronic Hepatitis C Virus,3/27/2015,GILD
NCT01667731,"Efficacy and Safety of Sofosbuvir Plus Ribavirin in Chronic Genotype 1, 2 and 3 Hepatitis C Virus (HCV) and Human Immunodeficiency Virus (HIV) Co-infected Adults",Hepatitis C|Human Immunodeficiency Virus,11/21/2014,GILD
NCT01659021,Efficacy and Safety of Idelalisib (GS-1101; CAL-101) in Combination With Ofatumumab for Previously Treated Chronic Lymphocytic Leukemia,Chronic Lymphocytic Leukemia,3/31/2017,GILD
NCT01641822,Phase 3 Study of Aztreonam for Inhalation Solution (AZLI) in a Continuous Alternating Therapy Regimen for the Treatment of Chronic Pseudomonas Aeruginosa Infection in Patients With CF,Cystic Fibrosis,5/9/2016,GILD
NCT01641640,"Sofosbuvir With Peginterferon Alfa 2a and Ribavirin for 12 Weeks in Treatment-Naive Subjects With Chronic Genotype 1, 4, 5, or 6 HCV Infection",Chronic Hepatitis C,5/8/2014,GILD
NCT01625338,Open-Label Study of Sofusbuvir+Ribavirin With or Without Peginterferon Alfa-2a in Subjects With Chronic HCV Infection Who Participated in Prior Gilead HCV Studies,Chronic Hepatitis C,11/9/2015,GILD
NCT01604850,Sofosbuvir + Ribavirin for 12 or 16 Weeks in Treatment Experienced Subjects With Chronic Genotype 2 or 3 HCV Infection (FUSION),Chronic Hepatitis C,5/1/2014,GILD
NCT01569295,"A Randomized, Double-Blind and Placebo-Controlled Study of Idelalisib in Combination With Bendamustine and Rituximab for Previously Treated Chronic Lymphocytic Leukemia (CLL)",Chronic Lymphocytic Leukemia,2/27/2018,GILD
NCT01555164,A Phase 3 Study of Ranolazine in Subjects With Type 2 Diabetes Who Are Inadequately Controlled on Metformin Alone,Type 2 Diabetes Mellitus,9/23/2014,GILD
NCT01542788,"Sofosbuvir + Ribavirin for 12 Weeks in Subjects With Chronic Genotype 2 or 3 Hepatitis C Infection Who Are Interferon Intolerant, Interferon Ineligible or Unwilling to Take Interferon",Chronic Hepatitis C,2/17/2014,GILD
NCT01539512,"A Randomized, Double-Blind, Placebo-Controlled Study of Idelalisib in Combination With Rituximab for Previously Treated Chronic Lymphocytic Leukemia (CLL)",Chronic Lymphocytic Leukemia,10/16/2014,GILD
NCT01533259,"Open-Label Pilot Study to Evaluate Switching From a Regimen Consisting of Raltegravir Plus Emtricitabine/Tenofovir DF Fixed-Dose Combination to the Elvitegravir/Cobicistat/Emtricitabine/Tenofovir DF Single-Tablet Regimen in Virologically Suppressed, HIV-1 Infected Patients",Acquired Immunodeficiency Syndrome|HIV Infections,1/26/2015,GILD
NCT01497366,Phase 3 Study of Sofosbuvir and Ribavirin,Hepatitis C,4/2/2014,GILD
NCT01495702,"Study to Evaluate Switching From Regimens Consisting of a Nonnucleoside Reverse Transcriptase Inhibitor Plus Emtricitabine and Tenofovir DF to the Elvitegravir/Cobicistat/Emtricitabine/Tenofovir DF Single-Tablet Regimen in Virologically Suppressed, HIV-1 Infected Patients",Acquired Immunodeficiency Syndrome|HIV Infections,1/26/2015,GILD
NCT01494987,Ranolazine When Added to Glimepiride in Subjects With Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,9/1/2014,GILD
NCT01475838,"Study to Evaluate Switching From Regimens Consisting of a Ritonavir-boosted Protease Inhibitor Plus Emtricitabine/Tenofovir Fixed-Dose Combination to the Elvitegravir/Cobicistat/Emtricitabine/Tenofovir DF Single-Tablet Regimen in Virologically Suppressed, HIV-1 Infected Patients",Acquired Immunodeficiency Syndrome|HIV Infections,1/26/2015,GILD
NCT01472185,Ranolazine Monotherapy in Subjects With Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,10/15/2014,GILD
NCT01442038,Ranolazine for Incomplete Vessel Revascularization Post-Percutaneous Coronary Intervention (PCI),Coronary Artery Disease|Angina Pectoris,7/15/2016,GILD
NCT01404234,Safety of AZLI in Children With Cystic Fibrosis (CF) and Chronic Pseudomonas Aeruginosa in the Lower Airways,Cystic Fibrosis|Pseudomonas Aeruginosa,5/1/2014,GILD
NCT01363011,Cobicistat-containing Highly Active Antiretroviral Regimens in HIV-1 Infected Patients With Mild to Moderate Renal Impairment,Acquired Immunodeficiency Syndrome|HIV Infections,10/31/2014,GILD
NCT01314716,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,Bronchiectasis,4/16/2014,GILD
NCT01313624,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,Bronchiectasis,4/16/2014,GILD
NCT01309243,"Study to Evaluate the Safety and Efficacy of a Single Tablet Regimen of Emtricitabine/Rilpivirine/Tenofovir Disoproxil Fumarate Compared With a Single Tablet Regimen of Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate in HIV-1 Infected, Antiretroviral Treatment-Naive Adults",HIV-1 Infection,11/27/2013,GILD
NCT01252940,Study to Evaluate Switching From Regimens Consisting of a Ritonavir-boosted Protease Inhibitor (PI) and Two Nucleoside Reverse Transcriptase Inhibitors (NRTIs) to a Fixed-dose Tablet Containing Emtricitabine/Rilpivirine/Tenofovir DF,HIV-1 Infection,4/19/2013,GILD
NCT01967940,"Efficacy of Tenofovir Alafenamide Versus Placebo Added to a Failing Regimen Followed by Treatment With Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide Plus Atazanavir in HIV-1 Positive, Antiretroviral Treatment-Experienced Adults",HIV|HIV Infections|Acquired Immunodeficiency Syndrome,6/12/2017,GILD
NCT01108510,"Safety and Efficacy of COBI-boosted Atazanavir Versus Ritonavir-boosted Atazanavir Each Administered With Emtricitabine/Tenofovir Disoproxil Fumarate in HIV-1 Infected, Antiretroviral Treatment-Naive Adults",HIV|HIV Infections,10/28/2014,GILD
NCT01106586,"Study to Evaluate the Safety and Efficacy of Stribild Versus Ritonavir-Boosted Atazanavir Plus Truvada in Human Immunodeficiency Virus, Type 1 (HIV-1) Infected, Antiretroviral Treatment-Naive Adults",HIV|HIV Infections,10/22/2012,GILD
NCT01095796,"Study to Evaluate the Safety and Efficacy of Stribild Versus Atripla in Human Immunodeficiency Virus, Type 1 (HIV-1) Infected, Antiretroviral Treatment-Naive Adults",HIV|HIV Infections,10/22/2012,GILD
NCT01059565,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Patients With Cystic Fibrosis and Chronic Burkholderia Species Infection,Cystic Fibrosis|Burkholderia Infections,3/11/2014,GILD
NCT00712166,"Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Patients With Cystic Fibrosis, Mild Lung Disease, and P. Aeruginosa",Cystic Fibrosis|Lung Infection|Pseudomonas Aeruginosa,12/20/2010,GILD
NCT00708162,"Multicenter, Randomized, Double-Blind, Double-Dummy, Phase 3 Study of the Safety and Efficacy of Elvitegravir Versus Raltegravir",HIV Infection,11/6/2014,GILD
NCT00380068,Safety and Efficacy Study of Ambrisentan in Subjects With Pulmonary Hypertension,Pulmonary Hypertension,11/19/2010,GILD
NCT00528957,Safety and Efficacy of Switching From Stavudine or Zidovudine to Tenofovir DF in HIV-1 Infected Children,HIV Infections,3/22/2012,GILD
NCT00128492,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis (CF) Patients With Pseudomonas Aeruginosa (PA),Cystic Fibrosis,3/11/2011,GILD
NCT00117676,A Study to Compare Tenofovir Disoproxil Fumarate Versus Adefovir Dipivoxil for the Treatment of HBeAg-Negative Chronic Hepatitis B,Chronic Hepatitis B,5/19/2010,GILD
NCT00116805,A Study to Compare Tenofovir Disoproxil Fumarate Versus Adefovir Dipivoxil for the Treatment of HBeAg-Positive Chronic Hepatitis B,Chronic Hepatitis B,5/19/2010,GILD
NCT00112359,International Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,Cystic Fibrosis,4/21/2011,GILD
NCT00104520,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,Cystic Fibrosis,3/11/2011,GILD
NCT00737568,Tenofovir Disoproxil Fumarate (Tenofovir DF) Versus Emtricitabine/Tenofovir DF in Subjects Resistant to Lamivudine,Hepatitis B,4/11/2013,GILD
NCT00734162,Evaluation of Tenofovir Disoproxil Fumarate in Adolescents With Chronic Hepatitis B Infection,Hepatitis B Virus (HBV),11/7/2012,GILD
