Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
1663,Phase 3 Study With Carfilzomib and Dexamethasone Versus Bortezomib and Dexamethasone for Relapsed Multiple Myeloma Patients,Completed,Has Results,Multiple Myeloma,Drug: Carfilzomib|Drug: Bortezomib|Drug: Dexamethasone,Amgen,Phase 3,Industry,Interventional,11-Dec-15,https://ClinicalTrials.gov/show/NCT01568866
1664,Study of Ivacaftor in Subjects With Cystic Fibrosis (CF) Who Have a Non-G551D CF Transmembrane Conductance Regulator (CFTR) Gating Mutation,Completed,Has Results,Cystic Fibrosis,Drug: Ivacaftor|Drug: Placebo,Vertex Pharmaceuticals Incorporated|Cystic Fibrosis Foundation,Phase 3,Industry|Other,Interventional,29-Oct-14,https://ClinicalTrials.gov/show/NCT01614470
1665,"A Twelve Week, Open Label Extension Study in Patients With Schizophrenia",Completed,Has Results,Schizophrenia,Drug: Lurasidone,Sunovion,Phase 3,Industry,Interventional,20-Nov-14,https://ClinicalTrials.gov/show/NCT01566162
1666,Effect of Liraglutide in Obese Subjects With Moderate or Severe Obstructive Sleep Apnoea: SCALE™ - Sleep Apnoea,Completed,Has Results,Metabolism and Nutrition Disorder|Obesity|Obstructive Sleep Apnoea,Drug: liraglutide|Drug: placebo,Novo Nordisk A/S,Phase 3,Industry,Interventional,9-Feb-15,https://ClinicalTrials.gov/show/NCT01557166
1667,Perindopril Amlodipine for the Treatment of Hypertension,Completed,Has Results,Essential Hypertension,Drug: XOMA 985|Drug: Amlodipine Besylate|Drug: Perindopril Erbumine,Symplmed Pharmaceuticals LLC,Phase 3,Industry,Interventional,25-Aug-15,https://ClinicalTrials.gov/show/NCT01556997
1668,"Safety and Efficacy of Azelaic Acid Foam, 15 % in Papulopustular Rosacea",Completed,Has Results,Papulopustular Rosacea,"Drug: Azelaic acid foam, 15% (BAY39-6251)|Drug: Vehicle foam",Bayer,Phase 3,Industry,Interventional,27-Jan-15,https://ClinicalTrials.gov/show/NCT01555463
1669,A Phase 3 Study of Ranolazine in Subjects With Type 2 Diabetes Who Are Inadequately Controlled on Metformin Alone,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Ranolazine|Drug: Placebo to match ranolazine|Drug: Metformin|Drug: Placebo to match metformin|Behavioral: Diet|Behavioral: Exercise,Gilead Sciences,Phase 3,Industry,Interventional,23-Sep-14,https://ClinicalTrials.gov/show/NCT01555164
1670,First Study of Secukinumab in Pre-filled Syringes in Subjects With Chronic Plaque-type Psoriasis: Response at 12 Weeks,Completed,Has Results,Moderate to Severe Plaque-type Psoriasis,Drug: secukinumab 150 mg|Drug: secukinumab 300 mg|Drug: placebo,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,8-Aug-18,https://ClinicalTrials.gov/show/NCT01555125
1671,A Long-Term Safety Extension Trial of Ferric Citrate in Patients With End-Stage Renal Disease (ESRD) on Dialysis,Completed,Has Results,End Stage Renal Disease|Kidney Failure|Renal Failure|Hyperphosphatemia|ESRD,Drug: ferric citrate,Keryx Biopharmaceuticals,Phase 3,Industry,Interventional,13-Jul-16,https://ClinicalTrials.gov/show/NCT01554982
1672,"Efficacy, Safety, and Tolerability of Eluxadoline in the Treatment of Participants With Diarrhea-Predominant Irritable Bowel Syndrome (IBS-d)",Completed,Has Results,Irritable Bowel Syndrome,Drug: Eluxadoline|Drug: Placebo,"Furiex Pharmaceuticals, Inc",Phase 3,Industry,Interventional,30-Jul-18,https://ClinicalTrials.gov/show/NCT01553747
1673,"Efficacy, Safety, and Tolerability of Eluxadoline in the Treatment of Participants With Diarrhea-Predominant Irritable Bowel Syndrome (IBS-d)",Completed,Has Results,Irritable Bowel Syndrome,Drug: Eluxadoline|Drug: Placebo,"Furiex Pharmaceuticals, Inc",Phase 3,Industry,Interventional,3-Sep-18,https://ClinicalTrials.gov/show/NCT01553591
1674,"A Study of Ustekinumab to Evaluate a ""Subject-tailored"" Maintenance Dosing Approach in Subjects With Moderate-to-Severe Plaque Psoriasis",Completed,Has Results,Psoriasis,Drug: Ustekinumab 45 mg|Drug: Ustekinumab 90 mg|Drug: Placebo,"Janssen Biotech, Inc.",Phase 3,Industry,Interventional,7-Nov-16,https://ClinicalTrials.gov/show/NCT01550744
1675,Phase 3 Study of Deoxycholic Acid Injection (ATX-101) Versus Placebo for the Reduction of Localized Subcutaneous Fat in the Submental Area,Completed,Has Results,Moderate or Severe Submental Fullness,Drug: Deoxycholic acid injection|Drug: Placebo,Kythera Biopharmaceuticals,Phase 3,Industry,Interventional,15-Jun-15,https://ClinicalTrials.gov/show/NCT01546142
1676,Extension Study of Secukinumab Prefilled Syringes in Subjects With Moderate to Severe Chronic Plaque-type Psoriasis Completing Preceding Psoriasis Phase III Studies With Secukinumab,Completed,Has Results,Moderate to Severe Plaque-type Psoriasis,Drug: Secukinumab (AIN457)|Drug: Placebo,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,20-Dec-18,https://ClinicalTrials.gov/show/NCT01544595
1677,Irritable Bowel Syndrome With Diarrhea (IBS-D) Rifaximin Re-Treatment Study,Completed,Has Results,Irritable Bowel Syndrome With Diarrhea,Drug: open-label rifaximin|Drug: double-blind placebo|Drug: double-blind rifaximin,"Bausch Health Americas, Inc.",Phase 3,Industry,Interventional,8-Jul-15,https://ClinicalTrials.gov/show/NCT01543178
1678,"Sofosbuvir + Ribavirin for 12 Weeks in Subjects With Chronic Genotype 2 or 3 Hepatitis C Infection Who Are Interferon Intolerant, Interferon Ineligible or Unwilling to Take Interferon",Completed,Has Results,Chronic Hepatitis C,Drug: SOF|Drug: RBV|Drug: Placebo to match SOF|Drug: Placebo to match RBV,Gilead Sciences,Phase 3,Industry,Interventional,17-Feb-14,https://ClinicalTrials.gov/show/NCT01542788
1679,Study Investigating the Impact Burden of Nocturia Using the Nocturia Impact Diary,Completed,Has Results,Nocturia,Drug: Desmopressin|Drug: Placebo,Ferring Pharmaceuticals,Phase 3,Industry,Interventional,5-May-17,https://ClinicalTrials.gov/show/NCT01552343
1680,Phase 3 Study of Deoxycholic Acid Injection (ATX-101) Versus Placebo for the Reduction of Localized Subcutaneous Fat in the Submental Area,Completed,Has Results,Moderate or Severe Submental Fullness,Drug: Deoxycholic acid injection|Drug: Placebo,Kythera Biopharmaceuticals,Phase 3,Industry,Interventional,15-Jun-15,https://ClinicalTrials.gov/show/NCT01542034
1681,A Sequential Treatment Regimen of Cryotherapy and Picato® for the Treatment of Actinic Keratosis on the Face and Scalp,Completed,Has Results,Actinic Keratosis,Procedure: Cryotherapy|Drug: Vehicle|Drug: Ingenol metabute,LEO Pharma,Phase 3,Industry,Interventional,28-Mar-14,https://ClinicalTrials.gov/show/NCT01541553
1682,"Efficacy and Safety of Liraglutide in Combination With Metformin Compared to Metformin Alone, in Children and Adolescents With Type 2 Diabetes",Completed,Has Results,"Diabetes|Diabetes Mellitus, Type 2",Drug: liraglutide|Drug: placebo|Drug: metformin,Novo Nordisk A/S,Phase 3,Industry,Interventional,11-Dec-18,https://ClinicalTrials.gov/show/NCT01541215
1683,"A Multicenter, Randomized, Open-Label, Parallel-Group Trial to Compare the Efficacy and Safety of the Sufentanil NanoTab PCA System/15 mcg (Zalviso™)to Intravenous Patient-Controlled Analgesia With Morphine for the Treatment of Acute Post-Operative Pain",Completed,Has Results,Post-Operative Pain,Drug: Sufentanil NanoTab PCA System/15 mcg|Drug: morphine IV PCA,"AcelRx Pharmaceuticals, Inc.",Phase 3,Industry,Interventional,27-Mar-14,https://ClinicalTrials.gov/show/NCT01539538
1684,"A Randomized, Double-Blind, Placebo-Controlled Study of Idelalisib in Combination With Rituximab for Previously Treated Chronic Lymphocytic Leukemia (CLL)",Completed,Has Results,Chronic Lymphocytic Leukemia,Drug: Idelalisib|Drug: Rituximab|Drug: Placebo to match idelalisib,Gilead Sciences,Phase 3,Industry,Interventional,16-Oct-14,https://ClinicalTrials.gov/show/NCT01539512
1685,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial to Evaluate the Efficacy and Safety of the Sufentanil NanoTab PCA System/15 mcg (Zalviso™) for the Treatment of Post-Operative Pain in Patients After Open Abdominal Surgery",Completed,Has Results,Post-Operative Pain,Drug: Sufentanil NanoTab PCA System/15 mcg|Drug: Placebo Sufentanil NanoTab PCA System,"AcelRx Pharmaceuticals, Inc.",Phase 3,Industry,Interventional,3-Feb-14,https://ClinicalTrials.gov/show/NCT01539642
1686,Safety Study of Enclomiphene Citrate in the Treatment of Men With Secondary Hypogonadism,Completed,Has Results,Secondary Hypogonadism,Drug: Androxal,Repros Therapeutics Inc.,Phase 3,Industry,Interventional,24-Jul-14,https://ClinicalTrials.gov/show/NCT01534208
1687,A Study to Evaluate Efficacy and Safety of a Single Application of Capsaicin 8%Transdermal Delivery System Compared to Placebo in Reducing Pain Intensity in Subjects With Painful Diabetic Peripheral Neuropathy (PDPN),Completed,Has Results,Diabetic Peripheral Neuropathy|Pain,Drug: Capsaicin 8%|Drug: Placebo,Astellas Pharma Inc,Phase 3,Industry,Interventional,13-Mar-15,https://ClinicalTrials.gov/show/NCT01533428
1688,A Study of RoActemra/Actemra (Tocilizumab) Versus Placebo in Patients With Systemic Sclerosis,Completed,Has Results,"Sclerosis, Systemic",Drug: Placebo|Drug: tocilizumab [RoActemra/Actemra],Hoffmann-La Roche,Phase 3,Industry,Interventional,5-Nov-15,https://ClinicalTrials.gov/show/NCT01532869
1689,Phase III Study to Evaluated Morning Testosterone Normalization in Men With Secondary Hypogonadism,Completed,Has Results,Secondary Hypogonadism,Drug: Androxal|Drug: Placebo,Repros Therapeutics Inc.,Phase 3,Industry,Interventional,27-May-15,https://ClinicalTrials.gov/show/NCT01532414
1690,Effect on Exercise Endurance and Lung Hyperinflation of Tiotropium + Olodaterol in COPD Patients.,Completed,Has Results,"Pulmonary Disease, Chronic Obstructive",Drug: Placebo|Drug: Tiotropium + Olodaterol|Drug: tiotropium + Olodaterol|Drug: Tiotropium|Drug: Olodaterol|Device: Respimat,Boehringer Ingelheim,Phase 3,Industry,Interventional,15-Sep-15,https://ClinicalTrials.gov/show/NCT01533935
1691,A Study of Paliperidone Palmitate 3 Month Formulation for the Treatment of Patients With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: PP3M 175 mg eq.|Drug: PP3M 263 mg eq.|Drug: PP3M 350 mg eq.|Drug: PP3M 525 mg eq.|Drug: Placebo (20% Intralipid emulsion),"Janssen Research & Development, LLC",Phase 3,Industry,Interventional,18-Jun-15,https://ClinicalTrials.gov/show/NCT01529515
1692,A Study to Determine the Effect of Tiotropium + Olodaterol Fixed Dose Combination on Exercise Endurance Time During Constant Work Rate Cycle Ergometry Test in COPD,Completed,Has Results,"Pulmonary Disease, Chronic Obstructive",Device: Respimat inhaler|Drug: tiotropium+olodaterol (low dose)|Drug: tiotropium + olodaterol (high dose)|Drug: placebo to tiotropium+olodaterol,Boehringer Ingelheim,Phase 3,Industry,Interventional,15-Sep-15,https://ClinicalTrials.gov/show/NCT01525615
1693,LUX-Lung 8: A Phase III Trial of Afatinib (BIBW 2992) Versus Erlotinib for the Treatment of Squamous Cell Lung Cancer After at Least One Prior Platinum Based Chemotherapy,Completed,Has Results,"Carcinoma, Non-Small-Cell Lung",Drug: afatinib|Drug: erlotinib,Boehringer Ingelheim,Phase 3,Industry,Interventional,21-Nov-14,https://ClinicalTrials.gov/show/NCT01523587
1694,"A Multi-center, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Certolizumab Pegol in Combination With Methotrexate in the Treatment of Disease Modifying Antirheumatic Drugs (DMARD)-naïve Adults With Early Active Rheumatoid Arthritis",Completed,Has Results,Rheumatoid Arthritis,Biological: Certolizumab Pegol + Methotrexate (MTX)|Biological: Placebo + Methotrexate (MTX),UCB Pharma,Phase 3,Industry,Interventional,10-Jan-17,https://ClinicalTrials.gov/show/NCT01521923
1695,"A Multi-center, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Certolizumab Pegol in Combination With Methotrexate in the Treatment of Disease Modifying Antirheumatic Drugs (DMARD)-naïve Adults With Early Active Rheumatoid Arthritis",Completed,Has Results,Rheumatoid Arthritis,Biological: Certolizumab Pegol|Other: Placebo|Biological: Methotrexate,UCB Pharma SA|UCB Pharma,Phase 3,Industry,Interventional,22-Sep-15,https://ClinicalTrials.gov/show/NCT01519791
1696,Comparison of Lixisenatide Injected Prior to the Main Meal of the Day Versus Prior to Breakfast in Type 2 Diabetic Patients on Metformin,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Lixisenatide (AVE0010)|Device: Self-injector pen device (OptiClik®)|Drug: Metformin,Sanofi,Phase 3,Industry,Interventional,14-Oct-16,https://ClinicalTrials.gov/show/NCT01517412
1697,Durable Effect of PCSK9 Antibody CompARed wiTh placEbo Study,Completed,Has Results,Hypercholesterolemia,Biological: Evolocumab|Biological: Placebo|Drug: Atorvastatin|Drug: Ezetimibe|Other: Diet Only,Amgen,Phase 3,Industry,Interventional,29-Sep-15,https://ClinicalTrials.gov/show/NCT01516879
1698,Study of Paliperidone Palmitate 3 Month and 1 Month Formulations for the Treatment of Patients With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: PP3M 175 mg eq.|Drug: PP3M 263 mg eq.|Drug: PP3M 350 mg eq.|Drug: PP3M 525 mg eq.|Drug: Placebo (20% Intralipid)|Drug: PP1M 50 mg eq.|Drug: PP1M 75 mg eq.|Drug: PP1M 100 mg eq.|Drug: PP1M 150 mg eq.,"Janssen Research & Development, LLC",Phase 3,Industry,Interventional,2-May-16,https://ClinicalTrials.gov/show/NCT01515423
1699,Submassive and Massive Pulmonary Embolism Treatment With Ultrasound Accelerated Thrombolysis Therapy,Completed,Has Results,Pulmonary Embolism|Acute Pulmonary Embolism|Sub-massive Pulmonary Embolism|Massive Pulmonary Embolism|Pulmonary Thromboembolism,Drug: recombinant tissue plasminogen activator|Device: EKOS EkoSonic Endovascular System,EKOS Corporation,Phase 3,Industry,Interventional,3-Jul-19,https://ClinicalTrials.gov/show/NCT01513759
1700,A Trial Investigating the Efficacy and Safety of Insulin Degludec in Children and Adolescents With Type 1 Diabetes Mellitus,Completed,Has Results,"Diabetes|Diabetes Mellitus, Type 1",Drug: insulin degludec|Drug: insulin detemir|Drug: insulin aspart,Novo Nordisk A/S,Phase 3,Industry,Interventional,12-Jan-16,https://ClinicalTrials.gov/show/NCT01513473
1701,Phase 3 Trial in Subjects With Metastatic Melanoma Comparing 3 mg/kg Ipilimumab Versus 10 mg/kg Ipilimumab,Completed,Has Results,Melanoma,Biological: Ipilimumab,Bristol-Myers Squibb,Phase 3,Industry,Interventional,24-Mar-17,https://ClinicalTrials.gov/show/NCT01515189
1702,"Open-Label Pilot Study to Evaluate Switching From a Regimen Consisting of Raltegravir Plus Emtricitabine/Tenofovir DF Fixed-Dose Combination to the Elvitegravir/Cobicistat/Emtricitabine/Tenofovir DF Single-Tablet Regimen in Virologically Suppressed, HIV-1 Infected Patients",Completed,Has Results,Acquired Immunodeficiency Syndrome|HIV Infections,Drug: Stribild,Gilead Sciences,Phase 3,Industry,Interventional,26-Jan-15,https://ClinicalTrials.gov/show/NCT01533259
1703,Open-Label Study of Diclofenac Capsules to Treat Osteoarthritis Pain,Completed,Has Results,Osteoarthritis,Drug: Diclofenac,"Iroko Pharmaceuticals, LLC",Phase 3,Industry,Interventional,9-May-14,https://ClinicalTrials.gov/show/NCT01510912
1704,Combination Treatment Study in Subjects With Tophaceous Gout With Lesinurad and Febuxostat,Completed,Has Results,Tophaceous Gout,Drug: Lesinurad|Drug: Placebo|Drug: Febuxostat,"Ardea Biosciences, Inc.",Phase 3,Industry,Interventional,26-May-16,https://ClinicalTrials.gov/show/NCT01510769
1705,Combining Lesinurad With Allopurinol in Inadequate Responders,Completed,Has Results,Gout,Drug: Lesinurad|Drug: Placebo|Drug: Allopurinol,"Ardea Biosciences, Inc.",Phase 3,Industry,Interventional,18-Aug-16,https://ClinicalTrials.gov/show/NCT01510158
1706,Study to Evaluate the Efficacy and Safety of Reslizumab Treatment in Patients With Moderate to Severe Asthma,Completed,Has Results,Eosinophilic Asthma,Drug: Reslizumab|Drug: Placebo,"Teva Branded Pharmaceutical Products, R&D Inc.|Teva Pharmaceutical Industries",Phase 3,Industry,Interventional,27-Jun-16,https://ClinicalTrials.gov/show/NCT01508936
1707,Efficacy and Safety of Targeted Intramyocardial Delivery of Auto CD34+ Stem Cells for Improving Exercise Capacity in Subjects With Refractory Angina,Completed,Has Results,Chronic Myocardial Ischemia|Refractory Angina Pectoris|Advanced Coronary Heart Disease,Biological: Auto-CD34+ cells|Biological: Placebo: Diluent used to suspend Auto-CD34+ cells|Other: Standard of care,"Caladrius Biosciences, Inc.",Phase 3,Industry,Interventional,15-Feb-17,https://ClinicalTrials.gov/show/NCT01508910
1708,Lesinurad Monotherapy in Gout Subjects Intolerant to Xanthine Oxidase Inhibitors,Completed,Has Results,Gout,Drug: lesinurad|Drug: Placebo,"Ardea Biosciences, Inc.",Phase 3,Industry,Interventional,12-Feb-16,https://ClinicalTrials.gov/show/NCT01508702
1709,Safety Study of Soluble Ferric Pyrophosphate (SFP) in Dialysate in CKD Patients Receiving Chronic Hemodialysis,Completed,Has Results,End Stage Renal Disease|Chronic Kidney Disease,Drug: SFP|Other: Placebo,"Rockwell Medical Technologies, Inc.",Phase 3,Industry,Interventional,21-Apr-15,https://ClinicalTrials.gov/show/NCT01503021
1710,The PLATINUM Clinical Trial to Assess the PROMUS Element Stent System for Treatment of Long De Novo Coronary Artery Lesions (PLATINUM LL),Completed,Has Results,Coronary Artery Disease,Device: PROMUS Element Coronary Stent System|Drug: Aspirin|Drug: Thienopyridine,Boston Scientific Corporation,Phase 3,Industry,Interventional,14-Feb-12,https://ClinicalTrials.gov/show/NCT01500434
1711,Comparison of a New Formulation of Insulin Glargine With Lantus in Patients With Type 2 Diabetes on Basal Insulin With Oral Antidiabetic Therapy,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Lantus (Insulin glargine)|Drug: HOE901-U300 (new formulation of insulin glargine),Sanofi,Phase 3,Industry,Interventional,23-Apr-15,https://ClinicalTrials.gov/show/NCT01499095
1712,Comparison of a New Formulation of Insulin Glargine With Lantus in Patients With Type 2 Diabetes Mellitus on Basal Plus Mealtime Insulin,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: HOE901-U300 (new formulation of insulin glargine)|Drug: Lantus (insulin glargine),Sanofi,Phase 3,Industry,Interventional,23-Apr-15,https://ClinicalTrials.gov/show/NCT01499082
1713,Outpatient Study to Evaluate Safety and Effectiveness of the Low Glucose Suspend Feature,Completed,Has Results,Type 1 Diabetes,Device: Medtronic MMT-754 Veo Insulin pump testing Low Glucose Suspend (LGS) feature|Device: Medtronic (NO LGS FEATURE ) using Paradigm® Revel™2.0 Pump,Medtronic Diabetes,Phase 3,Industry,Interventional,17-Mar-14,https://ClinicalTrials.gov/show/NCT01497938
1714,Phase 3 Study of Sofosbuvir and Ribavirin,Completed,Has Results,Hepatitis C,Drug: Sofosbuvir|Drug: PEG|Drug: RBV,Gilead Sciences,Phase 3,Industry,Interventional,2-Apr-14,https://ClinicalTrials.gov/show/NCT01497366
1715,"Study to Evaluate Switching From Regimens Consisting of a Nonnucleoside Reverse Transcriptase Inhibitor Plus Emtricitabine and Tenofovir DF to the Elvitegravir/Cobicistat/Emtricitabine/Tenofovir DF Single-Tablet Regimen in Virologically Suppressed, HIV-1 Infected Patients",Completed,Has Results,Acquired Immunodeficiency Syndrome|HIV Infections,Drug: NNRTI|Drug: FTC/TDF|Drug: Stribild,Gilead Sciences,Phase 3,Industry,Interventional,26-Jan-15,https://ClinicalTrials.gov/show/NCT01495702
1716,Ranolazine When Added to Glimepiride in Subjects With Type 2 Diabetes Mellitus,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Ranolazine|Drug: Placebo|Drug: Glimepiride|Behavioral: Diet|Behavioral: Exercise,Gilead Sciences,Phase 3,Industry,Interventional,1-Sep-14,https://ClinicalTrials.gov/show/NCT01494987
1717,"Study of MM-398 With or Without 5-FU/LV, Versus 5-FU/LV in Patients With Metastatic Pancreatic Cancer",Completed,Has Results,Metastatic Pancreatic Cancer,Drug: MM-398|Drug: 5 Fluorouracil|Drug: Leucovorin,Merrimack Pharmaceuticals,Phase 3,Industry,Interventional,12-Feb-16,https://ClinicalTrials.gov/show/NCT01494506
1718,Phase 3 Papulopustular Rosacea Study,Completed,Has Results,Papulopustular Rosacea,Drug: CD5024|Drug: Azelaic acid 15% Gel,Galderma,Phase 3,Industry,Interventional,16-Jan-15,https://ClinicalTrials.gov/show/NCT01494467
1719,Safety and Efficacy of Turoctocog Alfa in Prevention and Treatment of Bleeds in Previously Untreated Children With Haemophilia A,Completed,Has Results,Congenital Bleeding Disorder|Haemophilia A,Drug: turoctocog alfa,Novo Nordisk A/S,Phase 3,Industry,Interventional,30-Oct-18,https://ClinicalTrials.gov/show/NCT01493778
1720,Phase 3 Papulopustular Rosacea Study,Completed,Has Results,Papulopustular Rosacea (PPR),Drug: CD5024|Drug: Azelaic acid 15% Gel,Galderma,Phase 3,Industry,Interventional,16-Jan-15,https://ClinicalTrials.gov/show/NCT01493687
1721,Combining Lesinurad With Allopurinol in Inadequate Responders,Completed,Has Results,Gout,Drug: Lesinurad|Drug: Placebo|Drug: Allopurinol,"Ardea Biosciences, Inc.",Phase 3,Industry,Interventional,26-May-16,https://ClinicalTrials.gov/show/NCT01493531
1722,Study Comparing Daclatasvir (BMS-790052) With Telaprevir Combined With Peginterferon Alfa-2a and Ribavirin in Patients With Chronic Hepatitis C Virus Infection,Completed,Has Results,Hepatitis C,Drug: Daclatasvir|Drug: Telaprevir|Drug: Peginterferon alfa-2a|Drug: Ribavirin,Bristol-Myers Squibb,Phase 3,Industry,Interventional,3-Jun-16,https://ClinicalTrials.gov/show/NCT01492426
1723,Effect on Exercise Endurance and Lung Hyperinflation of Tiotropium + Olodaterol in COPD Patients,Completed,Has Results,"Pulmonary Disease, Chronic Obstructive",Drug: Placebo|Drug: Tiotropium|Drug: Olodaterol|Drug: tiotropium + olodaterol|Drug: Tiotropium + Olodaterol|Device: Respimat,Boehringer Ingelheim,Phase 3,Industry,Interventional,15-Sep-15,https://ClinicalTrials.gov/show/NCT01533922
1724,"TMC435HPC3001 - An Efficacy, Safety and Tolerability Study for TMC435 vs Telaprevir in Combination With PegINFα-2a and Ribavirin in Chronic Hepatitis C Patients Who Were Null or Partial Responders to Prior PegINFα-2a and Ribavirin Therapy",Completed,Has Results,Hepatitis C,Drug: TMC435|Drug: TVR,Janssen R&D Ireland,Phase 3,Industry,Interventional,10-Apr-15,https://ClinicalTrials.gov/show/NCT01485991
1725,eValuation of the Efficacy and toleRability of Vimpat When Added to lEvetiracetam,Completed,Has Results,Epilepsy,Drug: Lacosamide,UCB Pharma,Phase 3,Industry,Interventional,26-Nov-14,https://ClinicalTrials.gov/show/NCT01484977
1726,Alisertib (MLN8237) or Investigator's Choice in Patients With Relapsed/Refractory Peripheral T-Cell Lymphoma,Completed,Has Results,Relapsed Peripheral T-Cell Lymphoma|Refractory Peripheral T-Cell Lymphoma,Drug: Alisertib|Drug: Pralatrexate|Drug: Gemcitabine|Drug: Romidepsin,"Millennium Pharmaceuticals, Inc.|Takeda",Phase 3,Industry,Interventional,31-Jul-18,https://ClinicalTrials.gov/show/NCT01482962
1727,A Study in Participants With Type 1 Diabetes Mellitus,Completed,Has Results,"Diabetes Mellitus, Type 1",Drug: Glargine|Drug: LY2605541|Drug: Insulin Lispro,Eli Lilly and Company,Phase 3,Industry,Interventional,17-Apr-18,https://ClinicalTrials.gov/show/NCT01481779
1728,"Study to Evaluate Switching From Regimens Consisting of a Ritonavir-boosted Protease Inhibitor Plus Emtricitabine/Tenofovir Fixed-Dose Combination to the Elvitegravir/Cobicistat/Emtricitabine/Tenofovir DF Single-Tablet Regimen in Virologically Suppressed, HIV-1 Infected Patients",Completed,Has Results,Acquired Immunodeficiency Syndrome|HIV Infections,Drug: PI|Drug: RTV|Drug: FTC/TDF|Drug: Stribild,Gilead Sciences,Phase 3,Industry,Interventional,26-Jan-15,https://ClinicalTrials.gov/show/NCT01475838
1729,A Study of the Safety and Efficacy of Two Different Regimens of Mipomersen in Patients With Familial Hypercholesterolemia and Inadequately Controlled Low-Density Lipoprotein Cholesterol,Completed,Has Results,Hypercholesterolemia|Heterozygous Familial,Drug: mipomersen sodium 200 mg|Drug: Placebo|Drug: mipomersen sodium 70 mg,"Kastle Therapeutics, LLC",Phase 3,Industry,Interventional,14-Mar-19,https://ClinicalTrials.gov/show/NCT01475825
1730,Efficacy and Safety Study of Pregabalin in the Treatment of Pain on Walking in Patients With Diabetic Peripheral Neuropathy (DPN),Completed,Has Results,Diabetic Peripheral Neuropathy,Drug: Pregabalin|Other: placebo,Pfizer,Phase 3,Industry,Interventional,18-Nov-14,https://ClinicalTrials.gov/show/NCT01474772
1731,A Phase 3 Study in Participants With Moderate to Severe Psoriasis,Completed,Has Results,Psoriasis,"Drug: 80 mg Ixekizumab Dosing Regimens 1, 2, and 3|Drug: Placebo",Eli Lilly and Company,Phase 3,Industry,Interventional,27-May-16,https://ClinicalTrials.gov/show/NCT01474512
1732,Macitentan for the Treatment of Digital Ulcers in Systemic Sclerosis Patients,Completed,Has Results,Systemic Sclerosis|Ulcers,Drug: macitentan 3mg|Drug: macitentan 10mg|Drug: placebo,Actelion,Phase 3,Industry,Interventional,6-Jan-15,https://ClinicalTrials.gov/show/NCT01474109
1733,Second Study of the Effect of Teriparatide on Hip Fracture Healing,Completed,Has Results,Femur Neck Fracture,Drug: Teriparatide|Drug: Placebo|Dietary Supplement: Calcium supplementation|Dietary Supplement: Vitamin D supplementation,Eli Lilly and Company,Phase 3,Industry,Interventional,17-Nov-14,https://ClinicalTrials.gov/show/NCT01473602
1734,Effect of Teriparatide on Hip Fracture Healing,Completed,Has Results,Femur Neck Fracture,Drug: Teriparatide|Drug: Placebo|Dietary Supplement: Calcium supplementation|Dietary Supplement: Vitamin D supplementation,Eli Lilly and Company,Phase 3,Industry,Interventional,17-Nov-14,https://ClinicalTrials.gov/show/NCT01473589
1735,Phase 3 Study of Obeticholic Acid in Patients With Primary Biliary Cirrhosis,Completed,Has Results,Primary Biliary Cirrhosis,Drug: Obeticholic Acid (OCA)|Drug: Placebo,Intercept Pharmaceuticals,Phase 3,Industry,Interventional,13-Feb-17,https://ClinicalTrials.gov/show/NCT01473524
1736,Safety and Efficacy Study of Insulin Lispro Versus Insulin Aspart in Participants With Type 2 Diabetes on Insulin Pump Therapy,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Insulin Lispro|Drug: Insulin Aspart,Eli Lilly and Company,Phase 3,Industry,Interventional,20-Mar-14,https://ClinicalTrials.gov/show/NCT01474538
1737,Ranolazine Monotherapy in Subjects With Type 2 Diabetes Mellitus,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Ranolazine|Drug: Placebo|Behavioral: Diet|Behavioral: Exercise,Gilead Sciences,Phase 3,Industry,Interventional,15-Oct-14,https://ClinicalTrials.gov/show/NCT01472185
1738,"A Study to Assess the Safety, Tolerability and Efficacy of TMC435 Along With Pegylated Interferon Alpha-2a (Pegasys) and Ribavirin (Copegus) Triple Therapy in Chronic Hepatitis C Genotype-1 Infected Patients Co-infected With Human Immunodeficiency Virus-Type 1",Completed,Has Results,Hepatitis C Virus Genotype-1,Drug: TMC435|Drug: Pegylated interferon alpha-2a|Drug: Ribavirin,Janssen R&D Ireland,Phase 3,Industry,Interventional,29-Oct-14,https://ClinicalTrials.gov/show/NCT01479868
