CTID,Title,Conditions,Study Type,Results First Posted,Company,Intervention
NCT01072630,Study to Evaluate the Efficacy and Safety of Armodafinil Treatment as Adjunctive Therapy in Adults With Major Depression Associated With Bipolar I Disorder,Depression,Interventional,26-Jan-15,Cephalon,Drug: Placebo
NCT01072630,Study to Evaluate the Efficacy and Safety of Armodafinil Treatment as Adjunctive Therapy in Adults With Major Depression Associated With Bipolar I Disorder,Depression,Interventional,26-Jan-15,Teva Pharmaceutical Industries,Drug: Armodafinil
NCT01072630,Study to Evaluate the Efficacy and Safety of Armodafinil Treatment as Adjunctive Therapy in Adults With Major Depression Associated With Bipolar I Disorder,Depression,Interventional,26-Jan-15,Teva Pharmaceutical Industries,Drug: Placebo
NCT01072448,12-week Efficacy of Indacaterol,Chronic Obstructive Pulmonary Disease,Interventional,19-Aug-11,Novartis,Drug: Indacaterol 75 μg
NCT01072448,12-week Efficacy of Indacaterol,Chronic Obstructive Pulmonary Disease,Interventional,19-Aug-11,Novartis,Drug: Placebo to indacaterol
NCT01071954,A Study Evaluating the Safety and Efficacy of Long-term Dosing of Romiplostim in Thrombocytopenic Pediatric Patients With Immune (Idiopathic) Thrombocytopenia Purpura,Thrombocytopenia in Pediatric Subjects With Immune Idiopathic Thrombocytopenic Purpura ITP,Interventional,29-Jan-19,Amgen,Biological: Romiplostim
NCT01070979,Hormone Replacement Therapy for Use in Postmenopausal Women for Relief of Hot Flushes and Urogenital Symptoms.,Hormone Replacement Therapy,Interventional,8-Apr-11,Warner Chilcott,Drug: Estradiol acetate
NCT01070979,Hormone Replacement Therapy for Use in Postmenopausal Women for Relief of Hot Flushes and Urogenital Symptoms.,Hormone Replacement Therapy,Interventional,8-Apr-11,Warner Chilcott,Drug: Estradiol
NCT01070979,Hormone Replacement Therapy for Use in Postmenopausal Women for Relief of Hot Flushes and Urogenital Symptoms.,Hormone Replacement Therapy,Interventional,8-Apr-11,Warner Chilcott,Drug: Conjugated equine estrogens
NCT01070303,"Remission in Subjects With Crohn's Disease, Open Label Extension",Crohn's Disease,Interventional,7-May-10,Abbott,Biological: Adalimumab 40 mg eow or ew
NCT01073943,Investigation of PicoPrep Versus HalfLytely for Bowel Preparation for Colonoscopy - Day Before PicoPrep,Bowel Preparation,Interventional,11-Sep-12,Ferring Pharmaceuticals,Drug: PicoPrep
NCT01073943,Investigation of PicoPrep Versus HalfLytely for Bowel Preparation for Colonoscopy - Day Before PicoPrep,Bowel Preparation,Interventional,11-Sep-12,Ferring Pharmaceuticals,Drug: HalfLytely
NCT01073943,Investigation of PicoPrep Versus HalfLytely for Bowel Preparation for Colonoscopy - Day Before PicoPrep,Bowel Preparation,Interventional,11-Sep-12,Ferring Pharmaceuticals,Drug: bisacodyl
NCT01068678,Comparison of NN1250 With Insulin Glargine in Subjects With Type 2 Diabetes,"Diabetes|Diabetes Mellitus, Type 2",Interventional,28-Dec-15,Novo Nordisk A/S,Drug: insulin degludec
NCT01068678,Comparison of NN1250 With Insulin Glargine in Subjects With Type 2 Diabetes,"Diabetes|Diabetes Mellitus, Type 2",Interventional,28-Dec-15,Novo Nordisk A/S,Drug: insulin glargine
NCT01068665,Comparison of NN1250 With Insulin Glargine in Subjects With Type 2 Diabetes,"Diabetes|Diabetes Mellitus, Type 2",Interventional,13-Nov-15,Novo Nordisk A/S,Drug: insulin degludec
NCT01068665,Comparison of NN1250 With Insulin Glargine in Subjects With Type 2 Diabetes,"Diabetes|Diabetes Mellitus, Type 2",Interventional,13-Nov-15,Novo Nordisk A/S,Drug: insulin glargine
NCT01068600,Comparison of Efficacy of Indacaterol Versus Placebo Over 12 Weeks,Chronic Obstructive Pulmonary Disease,Interventional,19-Aug-11,Novartis,Drug: Indacaterol
NCT01068600,Comparison of Efficacy of Indacaterol Versus Placebo Over 12 Weeks,Chronic Obstructive Pulmonary Disease,Interventional,19-Aug-11,Novartis,Drug: Placebo to indacaterol
NCT01074944,A Study of Eliglustat Tartrate (Genz-112638) in Patients With Gaucher Disease to Evaluate Once Daily Versus Twice Daily Dosing (EDGE),Gaucher Disease,Interventional,2-Dec-16,"Genzyme, a Sanofi Company",Drug: Eliglustat tartrate
NCT01074944,A Study of Eliglustat Tartrate (Genz-112638) in Patients With Gaucher Disease to Evaluate Once Daily Versus Twice Daily Dosing (EDGE),Gaucher Disease,Interventional,2-Dec-16,Sanofi,Drug: Eliglustat tartrate
NCT01067521,"A Study in Subjects With Relapsing-Remitting Multiple Sclerosis (RRMS) to Assess the Efficacy, Safety and Tolerability of Glatiramer Acetate (GA) Injection 40 mg Administered Three Times a Week Compared to Placebo",Relapsing Remitting Multiple Sclerosis,Interventional,9-Oct-18,"Teva Pharmaceutical Industries, Ltd.",Drug: Glatiramer acetate (GA)
NCT01067521,"A Study in Subjects With Relapsing-Remitting Multiple Sclerosis (RRMS) to Assess the Efficacy, Safety and Tolerability of Glatiramer Acetate (GA) Injection 40 mg Administered Three Times a Week Compared to Placebo",Relapsing Remitting Multiple Sclerosis,Interventional,9-Oct-18,"Teva Pharmaceutical Industries, Ltd.",Drug: Placebo
NCT01067521,"A Study in Subjects With Relapsing-Remitting Multiple Sclerosis (RRMS) to Assess the Efficacy, Safety and Tolerability of Glatiramer Acetate (GA) Injection 40 mg Administered Three Times a Week Compared to Placebo",Relapsing Remitting Multiple Sclerosis,Interventional,9-Oct-18,Teva Pharmaceutical Industries,Drug: Glatiramer acetate (GA)
NCT01067521,"A Study in Subjects With Relapsing-Remitting Multiple Sclerosis (RRMS) to Assess the Efficacy, Safety and Tolerability of Glatiramer Acetate (GA) Injection 40 mg Administered Three Times a Week Compared to Placebo",Relapsing Remitting Multiple Sclerosis,Interventional,9-Oct-18,Teva Pharmaceutical Industries,Drug: Placebo
NCT01067105,A 6 Month Study of Once Daily Ciclesonide Hydrofluoroalkane (HFA) Nasal Aerosol in The Treatment of Perennial Allergic Rhinitis (PAR) in Subjects 12 Years and Older,Perennial Allergic Rhinitis,Interventional,11-Jun-12,Sunovion,Drug: ciclesonide HFA 160 μg
NCT01106040,Breast and Melanoma Trial With Lymphoseek to Identify Lymph Nodes,Breast Cancer|Melanoma,Interventional,3-Jun-13,Navidea Biopharmaceuticals,Drug: Lymphoseek
NCT01796301,An Open-label Study to Evaluate the Effect of Treatment With Romosozumab or Teriparatide in Postmenopausal Women,Postmenopausal Osteoporosis,Interventional,8-Nov-18,Amgen,Drug: Romozosumab
NCT01796301,An Open-label Study to Evaluate the Effect of Treatment With Romosozumab or Teriparatide in Postmenopausal Women,Postmenopausal Osteoporosis,Interventional,8-Nov-18,Amgen,Drug: Teriparatide
NCT01064687,A Study in Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,26-Jan-15,Eli Lilly and Company,Drug: LY2189265
NCT01064687,A Study in Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,26-Jan-15,Eli Lilly and Company,Drug: Exenatide
NCT01064687,A Study in Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,26-Jan-15,Eli Lilly and Company,Drug: Placebo
NCT01064687,A Study in Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,26-Jan-15,Eli Lilly and Company,Drug: Metformin
NCT01064687,A Study in Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,26-Jan-15,Eli Lilly and Company,Drug: Pioglitazone
NCT01064414,"An Efficacy, Safety, and Tolerability Study of Canagliflozin in Patients With Type 2 Diabetes Mellitus Who Have Moderate Renal Impairment","Diabetes Mellitus, Type 2|Renal Insufficiency",Interventional,27-May-13,"Janssen Research & Development, LLC",Drug: Canagliflozin
NCT01064414,"An Efficacy, Safety, and Tolerability Study of Canagliflozin in Patients With Type 2 Diabetes Mellitus Who Have Moderate Renal Impairment","Diabetes Mellitus, Type 2|Renal Insufficiency",Interventional,27-May-13,"Janssen Research & Development, LLC",Drug: Placebo
NCT01063855,Concomitant Use of PriLigy in Men Treated for Erectile Dysfunction,Erectile Dysfunction|Sexual Dysfunction,Interventional,5-Nov-12,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Drug: Placebo
NCT01063855,Concomitant Use of PriLigy in Men Treated for Erectile Dysfunction,Erectile Dysfunction|Sexual Dysfunction,Interventional,5-Nov-12,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Drug: Dapoxetine
NCT01063855,Concomitant Use of PriLigy in Men Treated for Erectile Dysfunction,Erectile Dysfunction|Sexual Dysfunction,Interventional,5-Nov-12,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Drug: PDE5I (phosphodiesterase-5 inhibitor)
NCT01059565,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Patients With Cystic Fibrosis and Chronic Burkholderia Species Infection,Cystic Fibrosis|Burkholderia Infections,Interventional,11-Mar-14,Gilead Sciences,Drug: AZLI
NCT01059565,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Patients With Cystic Fibrosis and Chronic Burkholderia Species Infection,Cystic Fibrosis|Burkholderia Infections,Interventional,11-Mar-14,Gilead Sciences,Drug: Placebo
NCT01057810,Phase 3 Study of Immunotherapy to Treat Advanced Prostate Cancer,Prostate Cancer,Interventional,18-Aug-16,Bristol-Myers Squibb,Drug: Ipilimumab
NCT01057810,Phase 3 Study of Immunotherapy to Treat Advanced Prostate Cancer,Prostate Cancer,Interventional,18-Aug-16,Bristol-Myers Squibb,Drug: Placebo
NCT01057693,Study Of Pregabalin (Lyrica) In Patients With Painful Diabetic Peripheral Neuropathy,"Diabetic Neuropathy, Painful",Interventional,22-Feb-13,Pfizer,Drug: pregabalin (Lyrica)
NCT01057693,Study Of Pregabalin (Lyrica) In Patients With Painful Diabetic Peripheral Neuropathy,"Diabetic Neuropathy, Painful",Interventional,22-Feb-13,Pfizer,Drug: Placebo
NCT01073930,Investigation of PicoPrep Versus HalfLytely for Bowel Preparation for Colonoscopy - Split Dose PicoPrep,Bowel Preparation,Interventional,11-Sep-12,Ferring Pharmaceuticals,Drug: PicoPrep
NCT01073930,Investigation of PicoPrep Versus HalfLytely for Bowel Preparation for Colonoscopy - Split Dose PicoPrep,Bowel Preparation,Interventional,11-Sep-12,Ferring Pharmaceuticals,Drug: HalfLytely
NCT01073930,Investigation of PicoPrep Versus HalfLytely for Bowel Preparation for Colonoscopy - Split Dose PicoPrep,Bowel Preparation,Interventional,11-Sep-12,Ferring Pharmaceuticals,Drug: bisacodyl
NCT01054885,Efficacy and Safety Study of Fluticasone Furoate (FF)/GW642444 Inhalation Powder and the Individual Components in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Interventional,15-Aug-13,GlaxoSmithKline,Drug: FF Inhalation Powder
NCT01054885,Efficacy and Safety Study of Fluticasone Furoate (FF)/GW642444 Inhalation Powder and the Individual Components in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Interventional,15-Aug-13,GlaxoSmithKline,Drug: FF/GW642444 Inhalation Powder
NCT01054885,Efficacy and Safety Study of Fluticasone Furoate (FF)/GW642444 Inhalation Powder and the Individual Components in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Interventional,15-Aug-13,GlaxoSmithKline,Drug: GW642444 Inhalation Powder
NCT01054885,Efficacy and Safety Study of Fluticasone Furoate (FF)/GW642444 Inhalation Powder and the Individual Components in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Interventional,15-Aug-13,GlaxoSmithKline,Drug: Placebo
NCT01053988,A 6-month Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Interventional,15-Aug-13,GlaxoSmithKline,Drug: FF/GW642444 Inhalation Powder
NCT01053988,A 6-month Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Interventional,15-Aug-13,GlaxoSmithKline,Drug: FF Inhalation Powder
NCT01053988,A 6-month Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Interventional,15-Aug-13,GlaxoSmithKline,Drug: GW642444 Inhalation Powder
NCT01053988,A 6-month Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",Interventional,15-Aug-13,GlaxoSmithKline,Drug: Placebo
NCT01050257,A Study of Intravenously Administered Tamiflu (Oseltamivir) in Patients Over 13 Years of Age With Influenza,Influenza,Interventional,1-Nov-13,Hoffmann-La Roche,Drug: Oseltamivir IV
NCT01050257,A Study of Intravenously Administered Tamiflu (Oseltamivir) in Patients Over 13 Years of Age With Influenza,Influenza,Interventional,1-Nov-13,Hoffmann-La Roche,Drug: Oseltamivir Oral
NCT01046110,Comparison of NN1250 With Sitagliptin in Subjects With Type 2 Diabetes Never Treated With Insulin,"Diabetes|Diabetes Mellitus, Type 2",Interventional,18-Nov-15,Novo Nordisk A/S,Drug: insulin degludec
NCT01046110,Comparison of NN1250 With Sitagliptin in Subjects With Type 2 Diabetes Never Treated With Insulin,"Diabetes|Diabetes Mellitus, Type 2",Interventional,18-Nov-15,Novo Nordisk A/S,Drug: sitagliptin
NCT01045707,"Comparison of NN5401 Versus Insulin Glargine, Both Combined With Metformin Treatment, in Subjects With Type 2 Diabetes","Diabetes|Diabetes Mellitus, Type 2",Interventional,20-Nov-15,Novo Nordisk A/S,Drug: insulin degludec/insulin aspart
NCT01045707,"Comparison of NN5401 Versus Insulin Glargine, Both Combined With Metformin Treatment, in Subjects With Type 2 Diabetes","Diabetes|Diabetes Mellitus, Type 2",Interventional,20-Nov-15,Novo Nordisk A/S,Drug: insulin glargine
NCT01045447,"Comparison of NN5401 With Insulin Glargine, Both in Combination With Oral Antidiabetic Drugs, in Subjects With Type 2 Diabetes","Diabetes|Diabetes Mellitus, Type 2",Interventional,18-Nov-15,Novo Nordisk A/S,Drug: insulin degludec/insulin aspart
NCT01045447,"Comparison of NN5401 With Insulin Glargine, Both in Combination With Oral Antidiabetic Drugs, in Subjects With Type 2 Diabetes","Diabetes|Diabetes Mellitus, Type 2",Interventional,18-Nov-15,Novo Nordisk A/S,Drug: insulin glargine
NCT01323153,A Study of Dalcetrapib in Patients Hospitalized For An Acute Coronary Syndrome (Dal-ACUTE),Coronary Heart Disease,Interventional,6-Aug-18,Hoffmann-La Roche,Drug: dalcetrapib
NCT01323153,A Study of Dalcetrapib in Patients Hospitalized For An Acute Coronary Syndrome (Dal-ACUTE),Coronary Heart Disease,Interventional,6-Aug-18,Hoffmann-La Roche,Drug: placebo
NCT01045161,"Efficacy, Safety, and Tolerability of Aclidinium Bromide in the Treatment of Moderate-to-severe Chronic Obstructive Pulmonary Disease (COPD) (LAS-MD-38)",Chronic Obstructive Pulmonary Disease,Interventional,9-Dec-15,AstraZeneca,Drug: Aclidinium bromide
NCT01045161,"Efficacy, Safety, and Tolerability of Aclidinium Bromide in the Treatment of Moderate-to-severe Chronic Obstructive Pulmonary Disease (COPD) (LAS-MD-38)",Chronic Obstructive Pulmonary Disease,Interventional,9-Dec-15,AstraZeneca,Drug: Placebo
NCT01044459,"Long-term Safety, Tolerability and Efficacy of Aclidinium Bromide in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD) (LAS-MD-35)",Chronic Obstructive Pulmonary Disease,Interventional,13-Sep-12,AstraZeneca,Drug: Aclidinium Bromide 200 µg
NCT01044459,"Long-term Safety, Tolerability and Efficacy of Aclidinium Bromide in Patients With Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD) (LAS-MD-35)",Chronic Obstructive Pulmonary Disease,Interventional,13-Sep-12,AstraZeneca,Drug: Aclidinium Bromide 400 µg
NCT01039688,"Comparing The Effectiveness And Safety Of 2 Doses Of An Experimental Drug, CP-690,550, To Methotrexate (MTX) In Patients With Rheumatoid Arthritis Who Have Not Previously Received MTX","Arthritis, Rheumatoid",Interventional,6-Apr-18,Pfizer,"Drug: CP-690,550"
NCT01039688,"Comparing The Effectiveness And Safety Of 2 Doses Of An Experimental Drug, CP-690,550, To Methotrexate (MTX) In Patients With Rheumatoid Arthritis Who Have Not Previously Received MTX","Arthritis, Rheumatoid",Interventional,6-Apr-18,Pfizer,Drug: Disease-modifying antirheumatic drug
NCT01037244,Treatment of Erectile Dysfunction I,Erectile Dysfunction,Interventional,22-Dec-11,Warner Chilcott,Drug: Udenafil
NCT01037244,Treatment of Erectile Dysfunction I,Erectile Dysfunction,Interventional,22-Dec-11,Warner Chilcott,Drug: Placebo
NCT01037218,Treatment of Erectile Dysfunction II,Erectile Dysfunction,Interventional,22-Dec-11,Warner Chilcott,Drug: Udenafil
NCT01037218,Treatment of Erectile Dysfunction II,Erectile Dysfunction,Interventional,22-Dec-11,Warner Chilcott,Drug: Placebo
NCT01035229,Global Study Looking at the Combination of RAD001 Plus Best Supportive Care (BSC) and Placebo Plus BSC to Treat Patients With Advanced Hepatocellular Carcinoma.,Carcinoma,Interventional,27-Oct-14,Novartis Pharmaceuticals,Drug: Everolimus
NCT01035229,Global Study Looking at the Combination of RAD001 Plus Best Supportive Care (BSC) and Placebo Plus BSC to Treat Patients With Advanced Hepatocellular Carcinoma.,Carcinoma,Interventional,27-Oct-14,Novartis Pharmaceuticals,Drug: Everolimus Placebo
NCT01035229,Global Study Looking at the Combination of RAD001 Plus Best Supportive Care (BSC) and Placebo Plus BSC to Treat Patients With Advanced Hepatocellular Carcinoma.,Carcinoma,Interventional,27-Oct-14,Novartis Pharmaceuticals,Other: Best Supportive Care (BSC)
NCT01035229,Global Study Looking at the Combination of RAD001 Plus Best Supportive Care (BSC) and Placebo Plus BSC to Treat Patients With Advanced Hepatocellular Carcinoma.,Carcinoma,Interventional,27-Oct-14,Novartis,Drug: Everolimus
NCT01035229,Global Study Looking at the Combination of RAD001 Plus Best Supportive Care (BSC) and Placebo Plus BSC to Treat Patients With Advanced Hepatocellular Carcinoma.,Carcinoma,Interventional,27-Oct-14,Novartis,Drug: Everolimus Placebo
NCT01035229,Global Study Looking at the Combination of RAD001 Plus Best Supportive Care (BSC) and Placebo Plus BSC to Treat Patients With Advanced Hepatocellular Carcinoma.,Carcinoma,Interventional,27-Oct-14,Novartis,Other: Best Supportive Care (BSC)
NCT01035138,A Study of Semagacestat for Alzheimer's Patients,Alzheimer's Disease,Interventional,25-Sep-14,Eli Lilly and Company,Drug: semagacestat
NCT01034462,Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Major Depressive Disorder,Major Depressive Disorder,Interventional,25-Oct-13,Forest Laboratories,Drug: Levomilnacipran ER
NCT01034462,Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Major Depressive Disorder,Major Depressive Disorder,Interventional,25-Oct-13,Forest Laboratories,Drug: Placebo
NCT01034163,"A Phase III Randomized, Double Blind, Placebo Controlled Multi-center Study of Panobinostat for Maintenance of Response in Patients With Hodgkin's Lymphoma (HL)",Hodgkin's Lymphoma,Interventional,7-Jul-16,Novartis Pharmaceuticals,Drug: Panobinostat
NCT01034163,"A Phase III Randomized, Double Blind, Placebo Controlled Multi-center Study of Panobinostat for Maintenance of Response in Patients With Hodgkin's Lymphoma (HL)",Hodgkin's Lymphoma,Interventional,7-Jul-16,Novartis Pharmaceuticals,Drug: Placebo
NCT01034163,"A Phase III Randomized, Double Blind, Placebo Controlled Multi-center Study of Panobinostat for Maintenance of Response in Patients With Hodgkin's Lymphoma (HL)",Hodgkin's Lymphoma,Interventional,7-Jul-16,Novartis,Drug: Panobinostat
NCT01034163,"A Phase III Randomized, Double Blind, Placebo Controlled Multi-center Study of Panobinostat for Maintenance of Response in Patients With Hodgkin's Lymphoma (HL)",Hodgkin's Lymphoma,Interventional,7-Jul-16,Novartis,Drug: Placebo
NCT01033071,Efficacy and Safety of Azilsartan Medoxomil and Chlorthalidone Compared to Olmesartan Medoxomil and Hydrochlorothiazide in Participants With Moderate to Severe Hypertension.,Essential Hypertension,Interventional,7-Feb-12,Takeda,Drug: Azilsartan medoxomil and chlorthalidone
NCT01033071,Efficacy and Safety of Azilsartan Medoxomil and Chlorthalidone Compared to Olmesartan Medoxomil and Hydrochlorothiazide in Participants With Moderate to Severe Hypertension.,Essential Hypertension,Interventional,7-Feb-12,Takeda,Drug: Olmesartan medoxomil and hydrochlorothiazide
NCT01032629,CANVAS - CANagliflozin cardioVascular Assessment Study,"Diabetes Mellitus, Type 2|Cardiovascular Diseases|Risk Factors",Interventional,7-Dec-18,"Janssen Research & Development, LLC",Drug: Placebo
NCT01032629,CANVAS - CANagliflozin cardioVascular Assessment Study,"Diabetes Mellitus, Type 2|Cardiovascular Diseases|Risk Factors",Interventional,7-Dec-18,"Janssen Research & Development, LLC",Drug: Canagliflozin (JNJ-28431754) 100 mg
NCT01032629,CANVAS - CANagliflozin cardioVascular Assessment Study,"Diabetes Mellitus, Type 2|Cardiovascular Diseases|Risk Factors",Interventional,7-Dec-18,"Janssen Research & Development, LLC",Drug: Canagliflozin (JNJ-28431754) 300 mg
NCT01032629,CANVAS - CANagliflozin cardioVascular Assessment Study,"Diabetes Mellitus, Type 2|Cardiovascular Diseases|Risk Factors",Interventional,7-Dec-18,"The George Institute for Global Health, Australia",Drug: Placebo
NCT01032629,CANVAS - CANagliflozin cardioVascular Assessment Study,"Diabetes Mellitus, Type 2|Cardiovascular Diseases|Risk Factors",Interventional,7-Dec-18,"The George Institute for Global Health, Australia",Drug: Canagliflozin (JNJ-28431754) 100 mg
NCT01032629,CANVAS - CANagliflozin cardioVascular Assessment Study,"Diabetes Mellitus, Type 2|Cardiovascular Diseases|Risk Factors",Interventional,7-Dec-18,"The George Institute for Global Health, Australia",Drug: Canagliflozin (JNJ-28431754) 300 mg
NCT01072149,"A Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetic (PK), and Pharmacodynamic (PD) Profiles of 3 Doses of Fluticasone Furoate (FF)/GW642444 Inhalation Powder at the End of a 28-day Treatment Period in Subjects With Chronic Obstructive Pulmonary Disease (COPD) Compared to Placebo","Pulmonary Disease, Chronic Obstructive",Interventional,25-Dec-13,GlaxoSmithKline,Drug: Fluticasone Furoate (FF)/GW642444 Inhalation Powder
NCT01072149,"A Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetic (PK), and Pharmacodynamic (PD) Profiles of 3 Doses of Fluticasone Furoate (FF)/GW642444 Inhalation Powder at the End of a 28-day Treatment Period in Subjects With Chronic Obstructive Pulmonary Disease (COPD) Compared to Placebo","Pulmonary Disease, Chronic Obstructive",Interventional,25-Dec-13,GlaxoSmithKline,Device: placebo
NCT01025817,Non-inferiority Study of Safety and Efficacy of Everolimus With Low Dose Tacrolimus to Mycophenolate Mofetil With Standard Dose Tacrolimus in Kidney Transplant Recipients,Kidney Transplant,Interventional,6-Jun-14,Novartis Pharmaceuticals,Drug: Everolimus and tacrolimus
NCT01025817,Non-inferiority Study of Safety and Efficacy of Everolimus With Low Dose Tacrolimus to Mycophenolate Mofetil With Standard Dose Tacrolimus in Kidney Transplant Recipients,Kidney Transplant,Interventional,6-Jun-14,Novartis Pharmaceuticals,Drug: mycophenolate mofetil and tacrolimus
NCT01025817,Non-inferiority Study of Safety and Efficacy of Everolimus With Low Dose Tacrolimus to Mycophenolate Mofetil With Standard Dose Tacrolimus in Kidney Transplant Recipients,Kidney Transplant,Interventional,6-Jun-14,Novartis,Drug: Everolimus and tacrolimus
NCT01025817,Non-inferiority Study of Safety and Efficacy of Everolimus With Low Dose Tacrolimus to Mycophenolate Mofetil With Standard Dose Tacrolimus in Kidney Transplant Recipients,Kidney Transplant,Interventional,6-Jun-14,Novartis,Drug: mycophenolate mofetil and tacrolimus
NCT01025336,Study Evaluating Persistence Of Antibody Response Elicited By 13vPnC In Healthy Adults Previously Vaccinated,Healthy,Interventional,20-Jun-12,Pfizer,Other: Blood draw
NCT01023581,Efficacy and Safety of Alogliptin Plus Metformin in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",Interventional,26-Mar-13,Takeda,Drug: Alogliptin
NCT01023581,Efficacy and Safety of Alogliptin Plus Metformin in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",Interventional,26-Mar-13,Takeda,Drug: Metformin
NCT01023581,Efficacy and Safety of Alogliptin Plus Metformin in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",Interventional,26-Mar-13,Takeda,Drug: Alogliptin Placebo
NCT01023581,Efficacy and Safety of Alogliptin Plus Metformin in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",Interventional,26-Mar-13,Takeda,Drug: Metformin Placebo
NCT01023308,Panobinostat or Placebo With Bortezomib and Dexamethasone in Patients With Relapsed Multiple Myeloma,Multiple Myeloma,Interventional,23-Oct-15,Novartis Pharmaceuticals,Drug: Panobinostat
NCT01023308,Panobinostat or Placebo With Bortezomib and Dexamethasone in Patients With Relapsed Multiple Myeloma,Multiple Myeloma,Interventional,23-Oct-15,Novartis Pharmaceuticals,Drug: Bortezomib
NCT01023308,Panobinostat or Placebo With Bortezomib and Dexamethasone in Patients With Relapsed Multiple Myeloma,Multiple Myeloma,Interventional,23-Oct-15,Novartis Pharmaceuticals,Drug: Placebo
NCT01023308,Panobinostat or Placebo With Bortezomib and Dexamethasone in Patients With Relapsed Multiple Myeloma,Multiple Myeloma,Interventional,23-Oct-15,Novartis,Drug: Panobinostat
NCT01023308,Panobinostat or Placebo With Bortezomib and Dexamethasone in Patients With Relapsed Multiple Myeloma,Multiple Myeloma,Interventional,23-Oct-15,Novartis,Drug: Bortezomib
NCT01023308,Panobinostat or Placebo With Bortezomib and Dexamethasone in Patients With Relapsed Multiple Myeloma,Multiple Myeloma,Interventional,23-Oct-15,Novartis,Drug: Placebo
NCT01066585,A Safety and Efficacy Study Comparing 0.5% Ivermectin Cream to a Vehicle Control in Subjects With Head Lice Infestation,Head Lice,Interventional,4-Apr-12,Topaz Pharmaceuticals Inc,Drug: Ivermectin Cream
NCT01066585,A Safety and Efficacy Study Comparing 0.5% Ivermectin Cream to a Vehicle Control in Subjects With Head Lice Infestation,Head Lice,Interventional,4-Apr-12,Topaz Pharmaceuticals Inc,Drug: vehicle control
NCT01019694,Combivent Respimat 1-year Safety Study in Patients With Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive",Interventional,1-May-12,Boehringer Ingelheim,Drug: Combivent CFC-MDI
NCT01019694,Combivent Respimat 1-year Safety Study in Patients With Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive",Interventional,1-May-12,Boehringer Ingelheim,Drug: Combivent Respimat 20/100 mcg
NCT01019694,Combivent Respimat 1-year Safety Study in Patients With Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive",Interventional,1-May-12,Boehringer Ingelheim,Drug: Atrovent HFA 42 mcg + Albuterol HFA 200 mcg
NCT01018862,A Study to Evaluate the Safety and Efficacy of a Nasal Spray to Treat Children With Perennial Allergic Rhinitis,Perennial Allergic Rhinitis,Interventional,11-Jun-12,Meda Pharmaceuticals,Drug: Azelastine hydrochloride nasal spray 0.15%
